Node Number	Directional Deformation (mm)
1	-3.4857e-003
2	-2.9334e-003
3	-0.52163
4	-0.52788
5	-0.52757
6	-0.58162
7	-0.52637
8	-0.32218
9	-0.11958
10	-4.9733e-002
11	-0.12289
12	7.3268e-002
13	-5.7863e-002
14	1.8021e-002
15	-9.1082e-003
16	1.3554e-002
17	9.532e-003
18	-3.8641e-003
19	-4.7979e-003
20	-0.41546
21	1.6126e-003
22	5.6669e-003
23	7.2549e-003
24	1.223e-002
25	-1.4334e-002
26	-3.9761e-002
27	-2.5807e-002
28	-0.12235
29	-0.11274
30	-0.39968
31	-0.43042
32	-0.42059
33	-0.45523
34	-0.51547
35	-0.44199
36	-0.42335
37	1.5898e-003
38	-9.4013e-004
39	-2.1649e-003
40	2.5395e-004
41	1.855e-003
42	-6.6588e-004
43	-4.3495e-003
44	-0.29095
45	1.0272e-003
46	-3.4752e-003
47	1.421e-002
48	-9.3232e-003
49	1.9444e-002
50	9.3739e-003
51	3.5649e-003
52	1.5005e-002
53	-5.9824e-002
54	-0.94016
55	-0.80772
56	-0.57014
57	-0.21007
58	-0.26738
59	-0.26191
60	-0.29329
61	-0.30215
62	-0.32234
63	-0.33888
64	-0.3657
65	-0.43241
66	-0.49422
67	-4.4873e-004
68	-1.4127e-003
69	-1.9598e-003
70	2.1761e-003
71	-5.4294e-004
72	-8.3778e-004
73	-3.9272e-004
74	-0.35882
75	3.2092e-003
76	1.6894e-003
77	-3.7284e-002
78	0.12317
79	0.10772
80	-0.44167
81	-3.7053e-002
82	0.10718
83	7.3129e-002
84	-0.19537
85	-0.33021
86	-0.34644
87	-0.3582
88	-0.38037
89	-0.4081
90	-0.52343
91	3.4338e-002
92	1.9217e-002
93	-0.36331
94	6.6186e-005
95	0.33038
96	-0.12707
97	-1.4477e-003
98	0.12167
99	-0.36472
100	-8.4511e-002
101	-0.16846
102	-0.48969
103	-0.39996
104	2.3238e-002
105	-0.24615
106	-3.8069e-002
107	1.9337e-002
108	5.7982e-002
109	-0.43047
110	-6.0244e-002
111	0.17949
112	-0.25435
113	5.0586e-003
114	-4.7874e-003
115	-8.2112e-002
116	4.5264e-004
117	-0.41245
118	-2.2717e-002
119	2.12e-002
120	-4.1666e-003
121	-0.32414
122	-0.46169
123	-0.27609
124	1.7171e-002
125	-2.7388e-002
126	-0.23125
127	-2.1817e-002
128	6.5213e-003
129	3.9162e-003
130	4.8255e-003
131	-0.34287
132	-0.60871
133	-5.2632e-002
134	-9.0043e-003
135	-0.50446
136	0.
137	0.
138	0.
139	0.
140	-1.6873e-011
141	-1.5775e-011
142	-2.2334e-011
143	-6.3265e-013
144	1.1373e-011
145	1.0805e-011
146	0.
147	0.
148	1.2928e-011
149	1.5103e-011
150	1.1292e-011
151	-1.1853e-011
152	-1.5961e-011
153	-1.4163e-011
154	0.
155	0.
156	0.
157	-1.199e-011
158	8.5901e-012
159	-5.3119e-011
160	-2.8833e-011
161	8.7939e-012
162	1.1775e-011
163	0.
164	0.
165	0.
166	0.
167	0.
168	0.
169	0.
170	0.
171	0.
172	0.
173	0.
174	2.9516e-013
175	2.5175e-013
176	3.2642e-013
177	-9.1765e-014
178	-3.0337e-013
179	-3.9923e-013
180	0.
181	0.
182	0.
183	0.
184	0.
185	0.
186	0.
187	0.
188	0.
189	0.
190	2.3721e-013
191	3.8093e-013
192	2.3194e-013
193	1.4916e-013
194	-2.4059e-013
195	-2.7812e-013
196	0.
197	0.
198	0.
199	0.
200	0.
201	0.
202	0.
203	0.
204	0.
205	0.
206	0.
207	0.
208	0.
209	0.
210	0.
211	0.
212	0.
213	0.
214	0.
215	0.
216	0.
217	0.
218	0.
219	0.
220	0.
221	0.
222	0.
223	0.
224	0.
225	0.
226	0.
227	0.
228	0.
229	0.
230	0.
231	0.
232	0.
233	0.
234	0.
235	0.
236	2.8081e-013
237	-1.8773e-013
238	-2.9051e-013
239	-4.2219e-013
240	-5.2042e-013
241	-3.9667e-013
242	-1.4853e-011
243	-2.8649e-011
244	-4.6917e-011
245	4.1615e-011
246	1.6691e-011
247	1.3837e-011
248	0.
249	2.0391e-012
250	-7.3417e-012
251	-4.9526e-012
252	1.1961e-013
253	2.6079e-012
254	-2.1111e-012
255	-1.1574e-011
256	-2.3434e-011
257	-4.916e-013
258	2.1962e-012
259	-4.0599e-013
260	4.1411e-012
261	1.1596e-012
262	7.4732e-013
263	3.4782e-013
264	-3.4011e-012
265	2.6945e-012
266	-1.3089e-013
267	1.0272e-012
268	2.3325e-012
269	4.3148e-012
270	1.2092e-012
271	-1.1035e-011
272	8.3166e-013
273	1.326e-011
274	-1.025e-013
275	-3.5358e-012
276	-8.3619e-013
277	-8.9071e-012
278	0.
279	0.
280	-5.4947e-012
281	0.
282	0.
283	-3.2321e-012
284	-1.5788e-011
285	-1.7619e-012
286	-1.4814e-013
287	-1.8355e-012
288	3.8109e-013
289	1.5776e-012
290	-3.5141e-012
291	-0.51572
292	-0.39396
293	-0.49168
294	-0.13743
295	-0.3383
296	-0.29436
297	-0.26087
298	-0.16851
299	-0.12871
300	-8.6824e-002
301	-0.34571
302	-0.2154
303	-0.37814
304	-0.37486
305	-0.42391
306	-0.44066
307	-0.46289
308	-0.49157
309	-0.57204
310	-0.57418
311	-0.56227
312	-0.53825
313	-0.51143
314	-0.48555
315	-0.5073
316	-0.46278
317	-0.41748
318	-0.66404
319	-0.63029
320	-0.63026
321	-0.6308
322	-0.63674
323	-0.62619
324	-0.60835
325	-0.55478
326	-0.56355
327	-0.58176
328	-0.6376
329	-0.63629
330	-0.64438
331	-0.66392
332	-0.6546
333	-8.9496e-002
334	-0.12841
335	0.
336	0.
337	0.
338	0.
339	0.
340	0.
341	0.
342	0.
343	0.
344	1.3932e-002
345	-0.31703
346	5.4857e-002
347	-0.12211
348	-0.2867
349	-4.9834e-002
350	-4.4536e-002
351	-1.0578e-002
352	-4.7476e-002
353	-0.10357
354	-0.12231
355	-0.29356
356	-0.53853
357	-0.39173
358	-1.4099e-003
359	-4.e-003
360	-8.0481e-003
361	-1.4483e-002
362	-3.1376e-002
363	-4.8874e-002
364	-4.8629e-002
365	6.0184e-002
366	9.3041e-002
367	-5.3327e-002
368	-0.1131
369	-0.11061
370	-0.15784
371	-0.18053
372	-0.18859
373	-0.21439
374	-0.26342
375	-0.29568
376	-0.27527
377	0.
378	0.
379	0.
380	0.
381	0.
382	0.
383	0.
384	0.
385	0.
386	1.7497e-002
387	1.2519e-002
388	8.0826e-003
389	4.0602e-003
390	8.087e-004
391	-5.6717e-004
392	0.
393	0.
394	0.
395	0.
396	0.
397	0.
398	0.
399	0.
400	0.
401	0.
402	0.
403	0.
404	-4.9216e-002
405	-0.17613
406	2.5523e-003
407	-0.43637
408	0.
409	0.
410	0.
411	0.
412	0.
413	0.
414	0.
415	0.
416	0.
417	0.
418	0.
419	0.
420	1.4553e-003
