Node Number	Directional Deformation (mm)
1	8.0957e-016
2	1.4271e-015
3	-3.3065e-015
4	-2.965e-015
5	-2.6229e-015
6	-2.2673e-015
7	-1.8958e-015
8	-1.5121e-015
9	-1.1333e-015
10	-7.1239e-016
11	-2.8909e-016
12	5.6957e-016
13	1.4757e-015
14	2.0463e-015
15	1.8099e-015
16	1.6377e-015
17	1.2738e-015
18	1.0844e-015
19	9.0662e-016
20	-3.4273e-015
21	1.4896e-015
22	1.2962e-015
23	8.0972e-016
24	4.6623e-016
25	1.6787e-016
26	1.3777e-016
27	-5.089e-016
28	-1.0115e-015
29	-1.1724e-015
30	-1.3437e-015
31	-1.5307e-015
32	-1.8256e-015
33	-2.1235e-015
34	-2.4494e-015
35	-2.7678e-015
36	-3.0946e-015
37	1.753e-015
38	1.8996e-015
39	1.9112e-015
40	1.8032e-015
41	2.2549e-015
42	1.6759e-015
43	1.1135e-015
44	-3.3881e-015
45	1.5398e-015
46	1.1826e-015
47	6.3277e-016
48	1.6986e-016
49	-5.611e-017
50	6.401e-017
51	3.9746e-016
52	1.0568e-016
53	-2.7624e-016
54	-8.0659e-016
55	-1.2493e-015
56	-1.663e-015
57	-2.0274e-015
58	-2.3898e-015
59	-2.7162e-015
60	-3.0512e-015
61	-3.3866e-015
62	-3.3739e-015
63	-3.3551e-015
64	-3.3441e-015
65	-3.3228e-015
66	-3.3076e-015
67	2.1207e-015
68	1.4344e-015
69	1.5117e-015
70	1.5207e-015
71	1.8584e-015
72	2.295e-015
73	2.1677e-015
74	-3.3969e-015
75	1.6767e-015
76	1.183e-015
77	8.4419e-016
78	5.6683e-016
79	4.1252e-016
80	5.3252e-017
81	-7.1346e-016
82	-1.3371e-015
83	-1.8927e-015
84	-2.4323e-015
85	-2.9161e-015
86	-3.3956e-015
87	-3.3992e-015
88	-3.4117e-015
89	-3.4218e-015
90	-2.2865e-015
91	-2.2081e-016
92	1.1954e-015
93	-1.152e-015
94	1.6204e-015
95	7.5275e-016
96	-1.8686e-015
97	1.1998e-015
98	-7.6468e-016
99	-2.7373e-015
100	1.0591e-015
101	-5.2262e-016
102	-1.6954e-015
103	-2.8795e-015
104	-1.9458e-016
105	-1.8422e-015
106	-7.8128e-016
107	8.0101e-016
108	-1.0345e-015
109	-2.0555e-015
110	3.1986e-016
111	-6.0044e-016
112	-2.4152e-015
113	1.5236e-015
114	-1.3749e-015
115	-3.9223e-016
116	1.4967e-015
117	-2.6918e-015
118	-6.8938e-016
119	2.6037e-016
120	1.2881e-015
121	-2.8273e-015
122	-1.2123e-015
123	-2.0958e-015
124	1.1452e-015
125	-1.0189e-015
126	-1.5095e-015
