Node Number	Equivalent (von-Mises) Stress (MPa)
1	8.2615
2	5.1025
3	1.787
4	3.1757
5	9.1888
6	8.3496
7	16.352
8	27.791
9	21.621
10	51.935
11	86.535
12	128.45
13	92.982
14	75.975
15	44.274
16	31.018
17	13.292
18	5.1765
19	8.0032
20	1.904
21	1.8288
22	5.7761
23	16.86
24	29.078
25	30.573
26	38.408
27	67.037
28	113.03
29	91.331
30	88.233
31	27.723
32	18.428
33	20.916
34	15.825
35	13.129
36	3.2039
37	9.8067
38	4.006
39	4.7366
40	5.7936
41	8.5181
42	7.6583
43	7.7429
44	3.4252
45	3.1017
46	22.742
47	21.401
48	61.232
49	69.138
50	62.835
51	88.033
52	132.35
53	132.61
54	41.614
55	45.537
56	53.405
57	48.126
58	14.646
59	14.157
60	6.0317
61	3.6361
62	9.8246
63	8.4683
64	8.9293
65	6.048
66	3.4305
67	3.9012
68	3.0788
69	5.4354
70	5.8289
71	8.3123
72	7.3202
73	2.0215
74	4.9876
75	10.172
76	19.557
77	59.309
78	40.882
79	85.245
80	122.09
81	79.197
82	63.345
83	67.183
84	28.867
85	11.972
86	6.7622
87	12.408
88	13.187
89	4.8761
90	21.434
91	51.666
92	21.536
93	43.11
94	9.9395
95	46.409
96	19.922
97	14.401
98	49.302
99	9.6451
100	52.4
101	37.354
102	18.161
103	6.5642
104	31.101
105	36.726
106	100.01
107	52.381
108	170.22
109	19.148
110	22.168
111	124.03
112	17.566
113	15.644
114	33.195
115	130.41
116	7.8008
117	8.2583
118	113.77
119	109.87
120	7.5717
121	9.9223
122	73.09
123	26.744
124	14.497
125	71.783
126	46.486
127	69.316
128	73.33
129	46.419
130	7.2659
131	7.4951
132	47.834
133	104.67
134	49.38
135	10.236
136	63.871
137	54.965
138	58.46
139	36.937
140	55.602
141	105.75
142	161.96
143	69.918
144	83.935
145	33.439
146	48.068
147	37.995
148	36.586
149	35.674
150	35.283
151	49.157
152	44.469
153	48.925
154	56.355
155	38.73
156	193.05
157	167.18
158	383.5
159	312.75
160	246.68
161	54.59
162	1.8021
163	1.8893
164	2.0803
165	2.2596
166	5.87
167	9.0518
168	8.4881
169	18.022
170	36.708
171	3.3842
172	2.0834
173	1.6391
174	1.176
175	1.2908
176	1.4233
177	1.6725
178	42.174
179	20.26
180	10.145
181	10.145
182	5.2841
183	3.9421
184	1.0182
185	2.1925
186	2.2312
187	2.6495
188	1.8432
189	1.3912
190	1.0101
191	1.045
192	1.5054
193	2.1097
194	70.062
195	6.3318
196	5.939
197	9.1508
198	18.435
199	50.077
200	35.187
201	50.379
202	64.567
203	3.4682
204	24.95
205	4.4037
206	2.3745
207	8.7544
208	31.139
209	31.139
210	16.607
211	49.725
212	49.31
213	54.18
214	44.855
215	48.501
216	35.12
217	17.294
218	8.8052
219	6.9393
220	6.0231
221	3.9925
222	1.7612
223	2.4552
224	2.0545
225	3.3441
226	194.53
227	2.9149
228	3.5908
229	18.22
230	20.086
231	43.145
232	85.307
233	142.89
234	6.4776
235	8.6821
236	6.6824
237	4.2938
238	6.5247
239	2.0875
240	242.46
241	322.46
242	659.95
243	371.51
244	288.29
245	118.35
246	19.709
247	35.414
248	35.479
249	16.427
250	8.8285
251	133.26
252	14.645
253	113.25
254	279.87
255	6.8874
256	55.904
257	4.6233
258	30.704
259	2.6846
260	0.61257
261	1.4656
262	21.83
263	4.9541
264	2.0463
265	5.9445
266	15.65
267	2.3621
268	5.6658
269	23.618
270	1.3154
271	18.868
272	1.2172
273	7.9914
274	17.467
275	22.874
276	10.692
277	5.6204
278	11.379
279	82.329
280	130.41
281	1.855
282	71.409
283	8.9242
284	27.391
285	3.8837e-003
286	8.3168e-003
287	3.7212e-003
288	0.10592
289	7.6039e-003
290	2.6871e-002
291	4.2547e-002
292	9.3789e-002
293	0.11426
294	0.11623
295	1.9082e-002
296	4.0781e-002
297	1.529e-002
298	1.5188e-002
299	2.664e-002
300	1.7313e-002
301	1.3738e-002
302	7.2356e-003
303	7.7891e-003
304	6.116e-003
305	4.7179e-003
306	5.8586e-003
307	6.464e-003
308	8.6392e-003
309	7.5185e-003
310	1.0535e-002
311	1.9119e-002
312	9.2226e-003
313	6.6416e-003
314	4.1608e-003
315	2.3365e-003
316	1.2183e-003
317	2.4596e-003
318	4.5773e-003
319	4.664e-003
320	5.5776e-003
321	6.5915e-003
322	7.5408e-003
323	7.244e-003
324	5.9017e-003
325	5.5702e-003
326	7.2276e-003
327	0.12818
328	7.608e-002
329	6.6552e-004
330	1.0843e-002
331	1.1781e-002
332	1.1781e-002
333	1.1781e-002
334	5.164e-003
335	1.3379e-003
336	5.6694e-004
337	1.9761e-003
338	2.7347e-003
339	2.6369e-002
340	2.5344e-002
341	0.19792
342	9.7494e-002
343	6.5106e-002
344	8.476e-002
345	5.0069e-002
346	4.616e-002
347	3.5949e-003
348	7.2058e-003
349	4.5618e-003
350	2.5795e-004
351	6.7872e-004
352	1.23e-003
353	2.3414e-003
354	4.0592e-003
355	9.8375e-003
356	1.5574e-002
357	2.4274e-002
358	1.7751e-002
359	4.7225e-003
360	4.0039e-003
361	4.2842e-003
362	4.3654e-003
363	5.8115e-003
364	6.7774e-003
365	7.8259e-003
366	7.4705e-003
367	5.708e-003
368	5.0148e-003
369	1.7684e-004
370	3.6399e-002
371	2.3049e-002
372	8.1632e-003
373	4.1576e-003
374	2.8449e-003
375	1.3323e-003
376	7.9554e-004
377	3.6671e-004
378	8.7589e-004
379	5.9006e-004
380	4.6704e-005
381	5.3781e-005
382	2.55e-004
383	3.7106e-004
384	7.6989e-002
385	7.8565e-002
386	8.819e-002
387	6.371e-002
388	3.5107e-002
389	1.1821e-002
390	1.9491e-004
391	8.5518e-005
392	1.2582e-005
393	2.5699e-005
394	5.8895e-005
395	7.4265e-005
396	5.2143e-002
397	2.4696e-002
398	0.13138
399	5.4538e-003
400	3.0492e-003
401	6.4391e-003
402	1.2297e-003
403	8.3322e-004
404	8.2344e-003
405	1.9779e-003
406	1.7294e-002
407	1.9531e-002
408	1.6365e-004
409	8.2142e-003
410	4.0509e-004
411	8.1456e-003
412	6.4691e-004
413	2.7322e-002
414	1.0984e-003
415	4.479e-003
416	9.053e-003
417	4.3898e-003
418	5.4832e-003
419	4.379e-003
420	4.0542e-003
421	8.0588e-003
422	1.3952e-003
423	5.1893e-003
424	8.1485e-003
425	3.7384e-003
426	8.7142e-003
427	2.3659e-003
428	6.4716e-003
429	3.3495e-003
430	6.102e-003
431	4.1729e-003
432	3.2438e-003
433	4.0052e-002
434	2.5704e-003
435	7.6041e-003
436	7.8714e-003
437	3.388e-003
438	2.4359e-002
439	5.015e-003
440	1.2076e-002
441	8.6822e-002
442	3.0215e-002
443	9.0793e-002
444	2.6883e-003
445	6.6695e-003
446	4.7582e-002
