Node Number	Directional Deformation (mm)
1	6.1458e-003
2	8.0668e-003
3	0.58328
4	0.49478
5	0.39603
6	0.29267
7	0.24763
8	0.22519
9	0.32246
10	0.34767
11	1.0304
12	1.2083
13	0.35474
14	-7.1389e-002
15	5.4603e-002
16	-3.3646e-002
17	-1.1778e-004
18	2.0024e-003
19	5.5264e-003
20	1.5614
21	1.1645e-002
22	-3.6541e-004
23	-2.4189e-002
24	-4.769e-002
25	-9.2489e-002
26	-0.53136
27	-1.6069
28	-1.2481
29	-0.53388
30	7.0874e-002
31	0.69863
32	1.0291
33	1.1796
34	1.2861
35	1.3895
36	1.4833
37	-1.791e-003
38	1.5217e-003
39	8.3583e-004
40	-1.6136e-002
41	-2.3466e-002
42	-1.4668e-002
43	-3.6804e-004
44	-0.44448
45	-5.2757e-003
46	-3.8063e-003
47	-3.5298e-002
48	-2.8014e-002
49	4.062e-002
50	4.8622e-002
51	-0.18553
52	0.83114
53	0.73056
54	-0.34298
55	-0.78082
56	-0.88803
57	-0.80803
58	-0.71743
59	-0.62152
60	-0.5292
61	-0.2866
62	-0.15512
63	7.6903e-004
64	0.14959
65	0.29316
66	0.4436
67	5.5464e-003
68	9.3647e-003
69	-8.6464e-003
70	-1.6359e-002
71	-1.6523e-002
72	3.6734e-003
73	2.411e-003
74	0.46773
75	-7.9878e-003
76	-0.1216
77	-2.1003e-002
78	-0.20695
79	-1.5236
80	-1.757
81	-0.48743
82	-7.7245e-002
83	9.127e-002
84	0.2459
85	0.3644
86	0.71837
87	0.96211
88	1.1801
89	1.3795
90	0.97262
91	-0.91755
92	9.3597e-002
93	0.2067
94	-8.0393e-002
95	-1.9994
96	0.42204
97	-2.8584e-002
98	-0.6185
99	0.75223
100	0.24893
101	-2.2663
102	0.87687
103	1.2044
104	4.8954e-002
105	-0.44176
106	0.32761
107	4.2352e-002
108	-6.4993e-002
109	-7.2949e-002
110	2.7216e-002
111	0.50728
112	-0.25444
113	-1.1783e-002
114	0.27332
115	-0.10295
116	-1.7072e-002
117	9.0103e-002
118	-0.23199
119	-3.2825e-003
120	-9.9273e-003
121	-0.38151
122	-0.91183
123	-0.61821
124	-5.7396e-003
125	0.36402
126	-0.3193
127	1.0701
128	-6.0651e-002
129	-1.2653e-002
130	-3.1402e-002
131	-7.5478e-002
132	-0.76075
133	-9.9285e-002
134	4.86e-002
135	4.6908e-002
136	0.
137	0.
138	0.
139	0.
