Node Number	Equivalent (von-Mises) Stress (MPa)
1	1.5923e-012
2	1.4968e-012
3	2.1018e-013
4	3.0547e-013
5	4.4087e-013
6	4.4727e-013
7	8.3045e-013
8	1.6627e-012
9	7.4265e-013
10	6.7802e-013
11	1.3488e-012
12	1.286e-012
13	3.6202e-012
14	4.2355e-012
15	5.9589e-012
16	8.0886e-012
17	2.3602e-012
18	2.1313e-012
19	1.1728e-012
20	1.5295e-013
21	1.6061e-012
22	2.7653e-012
23	3.339e-012
24	6.1187e-012
25	5.9704e-012
26	3.8878e-012
27	2.3888e-012
28	3.1858e-012
29	1.3401e-012
30	1.9052e-012
31	4.7404e-013
32	4.1068e-013
33	3.3808e-013
34	4.7547e-013
35	3.5814e-013
36	8.1556e-014
37	4.7605e-012
38	1.1267e-012
39	1.5384e-012
40	6.0552e-012
41	1.0227e-011
42	4.2945e-012
43	2.3661e-012
44	2.8607e-014
45	1.3797e-012
46	1.2153e-011
47	6.8435e-012
48	1.3728e-011
49	3.9844e-012
50	3.8323e-012
51	6.3643e-012
52	1.2021e-011
53	5.3457e-012
54	1.6575e-012
55	1.7166e-012
56	6.8783e-013
57	1.4522e-012
58	5.9002e-013
59	5.1948e-013
60	8.8066e-014
61	1.0361e-013
62	5.2774e-013
63	3.5489e-013
64	5.4374e-014
65	1.7793e-013
66	2.1269e-013
67	2.1903e-012
68	1.6636e-012
69	6.1428e-012
70	2.6244e-012
71	8.0495e-012
72	1.3436e-012
73	2.0697e-012
74	2.351e-014
75	2.9238e-012
76	1.6017e-012
77	5.3292e-012
78	2.1424e-012
79	6.3007e-012
80	2.1652e-012
81	1.8926e-012
82	6.6463e-013
83	1.5149e-012
84	4.7733e-013
85	9.7774e-014
86	1.1525e-013
87	3.1873e-013
88	3.081e-013
89	9.8253e-014
90	5.162e-013
91	1.9738e-012
92	2.2192e-012
93	1.0478e-012
94	2.8071e-012
95	9.0635e-013
96	2.2809e-013
97	2.3865e-012
98	4.8006e-013
99	1.5843e-013
100	2.1303e-012
101	1.2749e-012
102	2.0733e-013
103	3.6607e-014
104	3.0043e-012
105	1.0419e-012
106	1.0855e-012
107	1.7559e-012
108	2.4216e-012
109	6.5642e-013
110	2.5412e-012
111	1.6652e-012
112	5.1996e-013
113	2.9418e-012
114	7.3797e-013
115	2.8126e-012
116	2.8307e-012
117	1.6206e-013
118	3.0702e-012
119	3.2026e-012
120	1.6795e-012
121	3.4135e-013
122	1.7191e-012
123	7.0427e-013
124	2.603e-012
125	6.1362e-013
126	8.7536e-013
127	7.782e-013
128	1.6239e-012
129	2.7418e-012
130	2.7737e-012
131	2.5744e-013
132	1.3243e-012
133	2.3718e-012
134	6.2099e-012
135	6.0647e-013
136	3.9662e-013
137	1.1329e-012
138	6.155e-013
139	4.9088e-013
140	1.1745e-012
141	1.0103e-012
142	7.0593e-013
143	6.4205e-013
144	4.3943e-013
145	3.579e-013
146	3.341e-013
147	4.3107e-013
148	3.1134e-013
149	3.3583e-013
150	3.3404e-013
151	3.2969e-013
152	3.2636e-013
153	4.5531e-013
154	1.7478e-012
155	4.0625e-013
156	2.6091e-012
157	2.5594e-012
158	1.4731e-012
159	1.0705e-012
160	7.7587e-013
161	2.3889e-013
162	2.6403e-014
163	1.8951e-014
164	1.7225e-014
165	2.0076e-014
166	1.9729e-014
167	2.3541e-014
168	6.305e-014
169	1.0296e-013
170	1.0788e-013
171	2.4073e-013
172	2.5501e-014
173	1.7471e-014
174	1.129e-014
175	9.2218e-015
176	8.4396e-015
177	9.3725e-015
178	1.4847e-014
179	3.4373e-013
180	1.5252e-013
181	6.3851e-014
182	4.6044e-014
183	1.332e-014
184	2.8203e-014
185	2.8203e-014
186	2.5759e-014
187	2.2378e-014
188	1.9693e-014
189	2.0223e-014
190	2.426e-014
191	1.5626e-014
192	1.0261e-014
193	7.7438e-015
194	6.9058e-015
195	9.1775e-015
196	1.8027e-014
197	2.2531e-014
198	5.2373e-013
199	1.1746e-012
200	9.4049e-013
201	6.5346e-013
202	7.7035e-013
203	1.8032e-012
204	1.3311e-012
205	1.0053e-012
206	6.482e-013
207	2.5044e-013
208	3.0953e-013
209	2.0998e-013
210	5.1712e-013
211	6.0656e-013
212	5.9525e-013
213	5.9525e-013
214	5.9174e-013
215	1.3142e-012
216	1.4849e-012
217	1.0428e-012
218	4.4197e-013
219	3.7363e-013
220	2.4085e-013
221	6.377e-014
222	6.377e-014
223	4.3989e-014
224	2.8105e-014
225	3.991e-014
226	3.1368e-014
227	2.3018e-014
228	9.0755e-013
229	5.4937e-013
230	2.5568e-012
231	1.4011e-012
232	7.9876e-013
233	1.8453e-012
234	5.239e-013
235	1.2007e-012
236	1.5028e-012
237	2.6622e-012
238	4.4585e-013
239	7.875e-013
240	7.954e-013
241	7.8723e-013
242	5.1957e-013
243	1.0415e-012
244	3.5323e-012
245	2.9373e-012
246	1.7246e-012
247	9.8382e-013
248	1.1631e-012
249	6.3064e-013
250	4.6567e-013
251	6.4147e-013
252	8.7177e-013
253	8.7674e-013
254	9.2196e-013
255	1.0487e-012
256	8.5922e-013
257	1.8081e-012
258	1.0663e-012
259	8.5283e-013
260	3.1628e-013
261	4.9587e-013
262	8.5984e-013
263	3.6197e-014
264	1.342e-014
265	1.7382e-014
266	1.0213e-013
267	5.1005e-014
268	1.6985e-014
269	5.8258e-014
270	3.4918e-014
271	5.4359e-014
272	7.641e-015
273	3.027e-014
274	7.707e-015
275	1.6434e-013
276	3.7557e-014
277	2.2835e-013
278	1.2838e-014
279	1.7212e-014
280	3.6284e-014
281	6.1919e-014
282	1.9967e-014
283	3.5805e-014
284	2.0378e-013
285	2.2374e-013
286	3.1786e-013
287	2.5673e-013
288	6.3826e-013
289	5.3508e-014
290	7.8236e-014
291	3.746e-013
292	5.8503e-013
293	1.1373e-012
294	4.6889e-013
295	1.8361e-014
296	1.6371e-012
297	6.9658e-013
298	5.4007e-013
299	6.2533e-013
300	3.0807e-014
301	4.3973e-013
302	3.4812e-013
303	3.2195e-013
304	6.7955e-013
305	4.5236e-013
306	8.6861e-013
307	2.6021e-013
308	2.693e-013
309	7.3721e-013
310	3.6475e-013
311	5.6128e-013
312	2.8277e-013
313	2.1649e-013
314	2.2629e-013
315	2.5497e-013
316	3.0013e-013
317	1.6606e-013
318	1.7142e-013
319	2.6408e-013
320	2.4814e-013
321	2.5659e-013
322	8.5935e-013
323	5.5925e-013
324	7.7909e-013
325	5.0024e-013
326	3.4782e-013
327	2.9733e-013
328	4.3752e-013
329	7.1373e-013
330	7.5229e-013
331	5.4416e-013
332	3.1617e-013
333	3.7884e-013
334	9.0757e-013
335	4.338e-013
336	3.5292e-013
337	1.3209e-012
338	2.7122e-013
339	1.6684e-013
340	3.448e-013
341	2.7535e-013
342	2.0706e-013
343	1.0813e-013
344	3.0257e-013
345	5.4555e-013
346	4.1193e-013
347	6.6043e-013
348	1.1899e-012
349	3.2973e-013
350	5.2082e-013
351	1.2045e-012
352	4.3059e-013
353	4.2982e-013
354	1.2635e-012
355	1.1799e-012
356	4.0379e-013
357	1.4992e-012
358	7.7671e-014
359	1.0807e-013
360	3.4704e-013
361	3.5309e-013
362	2.4231e-013
363	2.6299e-013
364	3.7653e-013
365	7.189e-013
366	1.7972e-013
367	2.7714e-013
368	3.3438e-013
369	8.4615e-013
370	3.0473e-013
371	4.8242e-013
372	2.3246e-013
373	3.3722e-013
374	2.1816e-013
375	3.2295e-013
376	4.4765e-013
377	2.9584e-013
378	5.5393e-013
379	5.9068e-013
380	2.7274e-013
381	1.9118e-013
382	4.7285e-013
383	3.4362e-013
384	1.5906e-013
385	1.0727e-013
386	7.4507e-013
387	3.3509e-013
388	9.5424e-013
389	3.1671e-013
390	2.5908e-013
391	3.3786e-013
392	2.3836e-013
393	1.3702e-013
394	1.6536e-013
395	2.4267e-013
396	3.7257e-013
397	1.7488e-013
398	2.001e-013
399	3.7391e-013
400	4.284e-013
401	3.5624e-013
402	4.205e-013
403	5.6373e-013
404	5.1536e-013
405	5.4646e-013
406	3.385e-013
407	3.9179e-013
408	1.9841e-013
409	3.3046e-013
410	3.0602e-013
411	2.8797e-013
412	2.3849e-013
413	4.4454e-013
414	1.4966e-012
415	2.5452e-013
416	4.1673e-013
417	2.6558e-013
418	2.2126e-013
419	2.7614e-013
420	2.6445e-013
421	1.9992e-013
422	1.1502e-013
423	3.1899e-013
424	2.1646e-013
425	1.2305e-013
426	2.9857e-014
427	1.5955e-013
428	2.9746e-013
429	3.4554e-013
430	3.3199e-013
431	9.9334e-014
432	1.3416e-013
433	1.0335e-013
434	8.1281e-014
435	1.6767e-013
436	7.178e-014
437	1.7759e-013
438	3.1469e-013
439	1.0336e-013
440	2.0875e-013
441	2.3818e-013
442	1.6805e-013
443	5.2952e-013
444	4.1091e-013
445	1.098e-013
446	2.12e-013
447	7.1577e-013
448	4.478e-013
449	1.409e-013
450	1.4228e-013
