Node Number	Directional Deformation (mm)
1	4.1666e-015
2	-3.2064e-015
3	-2.7907e-015
4	-2.6692e-015
5	-2.5563e-015
6	-2.3705e-015
7	-2.0862e-015
8	-1.7892e-015
9	-1.495e-015
10	-1.2944e-015
11	-9.9682e-016
12	-2.325e-016
13	3.3958e-017
14	2.0787e-016
15	-1.1608e-016
16	3.7059e-017
17	1.299e-015
18	2.0151e-015
19	3.0804e-015
20	-2.3786e-015
21	-4.2585e-015
22	-4.755e-015
23	-4.8342e-015
24	-4.8258e-015
25	-4.2607e-015
26	-3.3009e-015
27	-3.7113e-015
28	-3.7409e-015
29	-3.5371e-015
30	-3.1236e-015
31	-2.6161e-015
32	-2.5931e-015
33	-2.3831e-015
34	-2.3591e-015
35	-2.2972e-015
36	-2.3203e-015
37	-1.9504e-015
38	-2.634e-015
39	-3.491e-015
40	-3.4824e-015
41	-1.1022e-015
42	2.5661e-015
43	3.9586e-015
44	-3.3079e-015
45	-2.2274e-015
46	-2.561e-015
47	-1.9252e-015
48	-2.3319e-015
49	-2.2604e-015
50	-2.78e-015
51	-3.5484e-015
52	-3.737e-015
53	-3.752e-015
54	-3.7333e-015
55	-3.2407e-015
56	-3.2087e-015
57	-3.0981e-015
58	-3.2579e-015
59	-3.1882e-015
60	-3.2432e-015
61	-3.303e-015
62	-3.2198e-015
63	-3.0931e-015
64	-3.0338e-015
65	-2.8951e-015
66	-2.7969e-015
67	1.6864e-015
68	-2.7323e-015
69	-6.8e-016
70	6.0236e-016
71	1.8734e-015
72	2.3718e-015
73	2.1301e-015
74	-1.8752e-015
75	2.7946e-015
76	3.3109e-015
77	1.8319e-015
78	1.4259e-015
79	2.1928e-016
80	-9.0949e-018
81	-6.3191e-016
82	-2.541e-016
83	-6.7511e-016
84	-1.4194e-015
85	-1.7364e-015
86	-1.8804e-015
87	-2.0109e-015
88	-2.2373e-015
89	-2.3387e-015
90	-2.1783e-015
91	-3.4798e-015
92	-1.4047e-015
93	-2.678e-015
94	3.7998e-015
95	-2.1624e-016
96	-1.249e-015
97	-3.6897e-015
98	-6.9356e-016
99	-1.7734e-015
100	1.0874e-015
101	-3.5749e-015
102	-2.3897e-015
103	-2.3119e-015
104	-4.5372e-015
105	-2.4054e-015
106	-2.3382e-015
107	-7.6872e-016
108	-7.1058e-016
109	-2.5948e-015
110	-2.1816e-015
111	-3.6149e-015
112	-2.7223e-015
113	-3.3043e-016
114	-2.1444e-015
115	-2.0906e-015
116	-2.051e-015
117	-2.8104e-015
118	-1.5205e-015
119	-4.0367e-015
120	1.9134e-015
121	-3.2429e-015
122	-2.9173e-015
123	-3.1386e-015
124	7.0666e-016
125	-1.4337e-015
126	-2.5162e-015
127	-9.9228e-016
128	1.4655e-016
129	4.4271e-016
130	-9.835e-016
131	-2.8857e-015
132	-3.1395e-015
133	-3.1257e-015
134	-2.7406e-015
135	-2.0953e-015
136	0.
137	0.
138	6.7995e-018
139	6.7384e-018
140	1.6075e-018
141	-2.3788e-018
142	-5.8115e-018
143	-5.7424e-018
144	0.
145	0.
146	-6.2573e-019
147	1.4846e-018
148	3.5979e-018
149	2.7108e-018
150	2.1919e-018
151	-5.6549e-019
152	0.
153	0.
154	0.
155	0.
156	0.
157	0.
158	0.
159	0.
160	0.
161	0.
162	0.
163	0.
164	0.
165	0.
166	0.
167	0.
168	0.
169	0.
170	0.
171	0.
172	0.
173	0.
174	0.
175	0.
176	0.
177	0.
178	0.
179	0.
180	0.
181	0.
182	0.
183	0.
184	0.
185	0.
186	0.
187	0.
188	0.
189	0.
190	0.
191	0.
192	0.
193	0.
194	0.
195	0.
196	0.
197	0.
198	0.
199	0.
200	0.
201	0.
202	0.
203	0.
204	0.
205	0.
206	0.
207	0.
208	0.
209	0.
210	0.
211	0.
212	0.
213	0.
214	0.
215	0.
216	-1.0939e-016
217	-1.4425e-016
218	-1.4835e-016
219	-2.5419e-017
220	2.3859e-017
221	4.0972e-017
222	-7.7824e-017
223	-1.4863e-017
224	-2.3822e-017
225	-3.5589e-017
226	1.2577e-019
227	7.2884e-017
228	6.0536e-017
229	-1.8457e-017
230	3.425e-017
231	1.2846e-016
232	-1.0135e-016
233	-1.1664e-016
234	-6.1271e-017
235	8.1614e-017
236	1.5975e-017
237	-2.1519e-016
238	3.7905e-016
239	1.0421e-016
240	-5.6386e-017
241	1.1106e-017
242	-6.7484e-017
243	-1.3476e-016
244	2.2041e-016
245	1.2477e-016
246	0.
247	0.
248	1.2493e-016
249	4.405e-017
250	-2.9523e-017
251	-6.2637e-017
252	-2.8534e-017
253	1.0472e-016
254	-5.4333e-017
255	6.3012e-017
256	2.879e-017
257	3.9966e-017
258	1.2526e-016
259	-7.3786e-018
260	-7.9465e-018
261	-1.2678e-017
262	-1.3355e-017
263	-1.306e-017
264	8.8113e-018
265	-8.5447e-017
266	2.4832e-018
267	3.9097e-017
268	-6.1727e-018
269	-1.1074e-017
270	-8.0536e-018
271	-5.46e-018
272	1.7055e-018
273	-1.3785e-016
274	-2.1395e-017
275	9.4357e-017
276	0.
277	4.8938e-017
278	3.271e-017
279	0.
280	1.4438e-016
281	-1.7511e-016
282	4.1884e-017
283	6.4106e-017
284	8.3133e-017
285	-6.1981e-017
286	6.8745e-017
287	-1.4289e-017
288	-1.8733e-017
289	0.
290	0.
291	0.
292	0.
293	0.
294	0.
295	0.
296	0.
297	0.
298	0.
299	0.
300	0.
301	0.
302	0.
303	0.
304	0.
305	0.
306	0.
307	0.
308	0.
309	0.
310	0.
311	0.
312	0.
313	0.
314	0.
315	0.
316	0.
317	0.
318	0.
319	0.
320	0.
321	0.
322	0.
323	0.
324	0.
325	0.
326	0.
327	0.
328	0.
329	0.
330	0.
331	0.
332	0.
333	0.
334	0.
335	0.
336	0.
337	0.
338	0.
339	0.
340	0.
341	0.
342	0.
343	0.
344	0.
345	0.
346	0.
347	0.
348	0.
349	0.
350	0.
351	0.
352	0.
353	0.
354	0.
355	0.
356	0.
357	0.
358	0.
359	0.
360	0.
361	0.
362	0.
363	0.
364	0.
365	0.
366	0.
367	0.
368	0.
369	0.
370	0.
371	0.
372	0.
373	0.
374	0.
375	0.
376	0.
377	0.
378	0.
379	0.
380	0.
381	0.
382	0.
383	0.
384	0.
385	0.
386	0.
387	0.
388	0.
389	0.
390	0.
391	0.
392	0.
393	0.
394	0.
395	0.
396	0.
397	0.
398	0.
399	0.
400	0.
401	0.
402	0.
403	0.
404	0.
405	0.
406	0.
407	0.
408	0.
409	0.
410	0.
411	0.
412	0.
413	0.
414	0.
415	0.
416	0.
417	0.
418	0.
419	0.
420	0.
421	0.
422	0.
423	0.
424	0.
425	0.
426	0.
427	0.
428	0.
429	0.
430	0.
431	0.
432	0.
433	0.
434	0.
435	0.
436	0.
437	0.
438	0.
439	0.
440	0.
441	0.
442	0.
443	0.
444	0.
445	0.
446	0.
