Node Number	Directional Deformation (mm)
1	6.3127e-003
2	6.244e-003
3	-0.68874
4	-0.65135
5	-0.60292
6	-0.58732
7	-0.5034
8	-0.33724
9	-0.19528
10	-0.1329
11	-0.21068
12	0.13806
13	-5.2119e-002
14	3.0163e-002
15	-8.6989e-003
16	1.3148e-002
17	2.77e-002
18	1.3225e-002
19	4.7142e-003
20	-0.52803
21	7.6097e-003
22	1.8373e-002
23	3.9803e-002
24	5.2406e-002
25	4.8849e-002
26	6.043e-003
27	1.6128e-002
28	4.9805e-002
29	-0.15375
30	-0.37556
31	-0.42503
32	-0.36108
33	-0.33655
34	-0.44048
35	-0.4522
36	-0.48948
37	-6.4381e-003
38	-5.7354e-003
39	-1.7772e-003
40	-2.5497e-003
41	1.5085e-003
42	3.8297e-003
43	4.8655e-003
44	-0.53419
45	-8.4518e-003
46	-1.1943e-002
47	7.3802e-003
48	2.421e-003
49	2.5402e-002
50	-7.7908e-003
51	6.5824e-003
52	-5.0483e-002
53	-1.0749e-002
54	-0.56468
55	-0.55503
56	-0.45615
57	-0.25053
58	-0.36354
59	-0.40108
60	-0.48131
61	-0.53919
62	-0.54895
63	-0.55623
64	-0.5621
65	-0.61903
66	-0.67009
67	-1.1868e-002
68	5.5181e-003
69	1.0134e-002
70	4.075e-003
71	1.3631e-003
72	-4.1621e-003
73	-1.2493e-002
74	-0.62567
75	-2.3282e-002
76	-4.8504e-002
77	-7.9326e-002
78	6.8433e-002
79	-6.5948e-002
80	-0.6981
81	-0.14111
82	-2.4924e-002
83	-9.7844e-002
84	-0.37546
85	-0.53147
86	-0.60773
87	-0.58074
88	-0.54886
89	-0.53528
90	-0.47748
91	0.10123
92	4.4842e-002
93	-0.27664
94	4.9862e-003
95	0.10885
96	-0.25254
97	2.0224e-002
98	3.2321e-002
99	-0.5059
100	-7.7738e-002
101	6.8379e-002
102	-0.4409
103	-0.44491
104	8.7297e-002
105	-0.29605
106	-1.3068e-002
107	3.1416e-002
108	3.3835e-002
109	-0.39739
110	-4.0475e-002
111	-1.917e-002
112	-0.35058
113	2.272e-003
114	-0.11004
115	2.6923e-002
116	4.5818e-003
117	-0.50167
118	-0.10216
119	-9.9939e-002
120	6.017e-003
121	-0.45942
122	-0.30442
123	-0.3352
124	4.3578e-002
125	-7.3698e-002
126	-0.23298
127	-0.16111
128	2.3515e-002
129	2.2987e-002
130	-1.9787e-003
131	-0.51388
132	-0.45203
133	-9.6958e-002
134	-1.2626e-002
135	-0.47839
136	0.
137	0.
138	2.5986e-003
139	2.3015e-003
140	-7.4696e-004
141	-2.2848e-003
142	-2.1419e-003
143	-1.6635e-003
144	0.
145	0.
146	-1.9346e-003
147	-1.1428e-003
148	1.421e-003
149	1.8557e-003
150	3.3212e-003
151	1.8002e-003
152	0.
153	0.
154	0.
155	0.
156	0.
157	0.
158	0.
159	0.
160	0.
161	0.
162	0.
163	0.
164	0.
165	0.
166	0.
167	0.
168	0.
169	0.
170	0.
171	0.
172	0.
173	0.
174	0.
175	0.
176	0.
177	0.
178	0.
179	0.
180	0.
181	0.
182	0.
183	0.
184	0.
185	0.
186	0.
187	0.
188	0.
189	0.
190	0.
191	0.
192	0.
193	0.
194	0.
195	0.
196	0.
197	0.
198	0.
199	0.
200	0.
201	0.
202	0.
203	0.
204	0.
205	0.
206	0.
207	0.
208	0.
209	0.
210	0.
211	0.
212	0.
213	0.
214	0.
215	0.
216	-8.9307e-002
217	-0.11541
218	-0.10059
219	8.9334e-003
220	4.2624e-002
221	4.3288e-002
222	-8.5957e-002
223	-9.7673e-002
224	-5.0748e-002
