Node Number	Equivalent (von-Mises) Stress (MPa)
1	8.4248e-012
2	5.1869e-012
3	1.192e-013
4	1.7376e-013
5	2.5664e-013
6	2.1794e-013
7	4.4641e-013
8	9.3549e-013
9	2.7272e-013
10	2.9003e-013
11	4.142e-013
12	4.7541e-013
13	1.1705e-012
14	1.6389e-012
15	3.25e-012
16	2.0209e-012
17	3.5201e-012
18	6.2757e-012
19	4.4055e-012
20	8.4018e-014
21	5.9573e-012
22	1.3177e-011
23	6.0382e-012
24	2.1354e-012
25	2.4088e-012
26	1.491e-012
27	1.4117e-012
28	1.587e-012
29	4.5598e-013
30	5.7761e-013
31	3.2666e-013
32	2.1447e-013
33	2.8871e-013
34	3.0953e-013
35	2.3009e-013
36	3.4413e-014
37	1.1731e-011
38	4.8562e-012
39	1.9421e-012
40	4.7116e-012
41	2.7373e-012
42	4.252e-012
43	6.6238e-012
44	1.3396e-014
45	3.3176e-012
46	5.7883e-012
47	4.3633e-012
48	3.1714e-012
49	5.7757e-012
50	2.0565e-011
51	1.0529e-011
52	1.1866e-011
53	2.5121e-012
54	6.8691e-013
55	8.7238e-013
56	5.5489e-013
57	1.0498e-012
58	3.4484e-013
59	3.6607e-013
60	6.4853e-014
61	5.1728e-014
62	3.396e-013
63	2.2698e-013
64	6.6626e-014
65	1.1513e-013
66	1.2632e-013
67	7.3676e-012
68	7.332e-012
69	5.4603e-012
70	1.3208e-012
71	4.02e-012
72	1.3928e-012
73	3.2845e-012
74	4.042e-014
75	1.8756e-012
76	3.7327e-012
77	6.257e-012
78	5.3313e-012
79	7.3544e-012
80	2.1554e-012
81	1.1994e-012
82	7.2313e-013
83	1.2627e-012
84	4.0981e-013
85	1.2106e-013
86	7.5796e-014
87	2.4139e-013
88	2.4133e-013
89	7.7154e-014
90	4.2887e-013
91	1.1805e-012
92	2.7202e-012
93	6.0044e-013
94	1.716e-012
95	1.1095e-012
96	1.4669e-013
97	2.0064e-012
98	6.1661e-013
99	1.0089e-013
100	1.0451e-012
101	9.4898e-013
102	1.0561e-013
103	3.7151e-014
104	1.4659e-012
105	8.3675e-013
106	5.154e-013
107	2.6544e-012
108	4.8555e-012
109	3.6352e-013
