Node Number	Equivalent (von-Mises) Stress (MPa)
1	3.5672
2	1.7546
3	1.2596
4	1.9004
5	3.2719
6	4.7509
7	5.2826
8	11.507
9	17.72
10	20.835
11	95.952
12	84.312
13	133.28
14	127.04
15	34.276
16	25.635
17	9.9856
18	10.931
19	4.0684
20	1.0804
21	2.308
22	6.9812
23	13.861
24	27.283
25	25.278
26	52.991
27	97.543
28	130.53
29	69.99
30	35.266
31	10.14
32	5.5662
33	4.1928
34	4.3634
35	3.2166
36	1.2752
37	1.2667
38	2.0204
39	1.6399
40	1.8004
41	4.1041
42	3.3518
43	2.2131
44	0.89387
45	2.5281
46	16.83
47	14.799
48	48.633
49	26.743
50	80.427
51	98.006
52	139.99
53	64.761
54	38.192
55	41.338
56	27.355
57	16.309
58	9.1699
59	5.1569
60	1.7432
61	1.3725
62	3.2792
63	2.6142
64	2.1391
65	0.93632
66	1.0611
67	2.6945
68	2.3042
69	5.7491
70	2.4331
71	5.517
72	1.4843
73	3.8597
74	1.0835
75	7.0317
76	11.754
77	33.885
78	23.764
79	65.712
80	94.991
81	41.985
82	37.275
83	22.588
84	9.1488
85	3.3731
86	1.9613
87	2.3321
88	1.7366
89	0.44036
90	6.9688
91	39.571
92	14.294
93	34.438
94	3.8275
95	31.825
96	12.856
97	8.1242
98	34.151
99	4.2144
100	25.244
101	38.811
102	12.415
103	1.9749
104	19.086
105	17.454
106	42.203
107	19.375
108	100.02
109	12.993
110	9.7044
111	80.689
112	7.9691
113	11.992
114	28.466
115	110.39
116	2.0118
117	3.5334
118	60.497
119	38.483
120	6.344
121	4.3666
122	24.067
123	10.75
124	15.437
125	47.634
126	23.752
127	53.425
128	70.125
129	34.059
130	1.8229
131	3.0711
132	29.881
133	75.476
134	10.198
135	7.8162
136	0.40134
137	0.43434
138	0.45351
139	0.32366
140	0.18406
141	0.15975
142	0.2336
143	0.29339
144	0.37255
145	0.39174
146	0.43845
147	0.35199
148	0.18488
149	0.19642
150	0.20577
151	0.26168
152	6.7656
153	4.8999
154	4.0039
155	2.4854
156	1.7614
157	1.1295
158	0.88192
159	0.39577
160	0.28963
161	3.8457
162	6.2246
163	20.76
164	39.857
165	1.9646
166	1.524
167	1.2798
168	8.6713
169	10.797
170	7.3383
171	18.461
172	29.104
173	0.98009
174	1.2075
175	0.25171
176	0.4833
177	0.88536
178	1.2643
179	1.3255
180	2.3181
181	3.2075
182	4.2323
183	5.3483
184	7.3927
185	10.188
186	8.8872
187	12.689
188	4.5503
189	9.5481
190	9.5481
191	5.9056
192	2.0659
193	7.2739
194	5.0108
195	3.0317
196	2.9278
197	2.9278
198	1.9001
199	1.1542
200	0.58592
201	0.42127
202	2.616
203	11.098
204	2.1605
205	20.522
206	3.4516
207	7.5208
208	13.429
209	26.848
210	43.989
211	32.539
212	19.211
213	45.791
214	18.316
215	14.313
216	8.7073
217	22.101
218	28.809
219	12.138
220	6.2852
221	5.6549
222	48.077
223	58.592
224	144.05
225	77.421
226	23.74
227	9.4
228	1.0151
229	1.1736
230	1.6473
231	2.845
232	3.828
233	3.7848
234	33.34
235	117.31
236	252.64
237	107.43
238	158.61
239	48.393
240	75.28
241	90.367
242	170.65
243	90.231
244	63.643
245	34.054
246	10.102
247	19.204
248	21.094
249	46.937
250	6.8107
251	5.6759
252	78.668
253	18.702
254	39.619
255	160.08
256	3.2526
257	11.358
258	4.6364
259	21.444
260	0.61197
261	1.0401
262	5.0541
263	0.44595
264	1.4205
265	4.9784
266	0.30994
267	3.5995
268	0.19808
269	1.9249
270	0.59913
271	0.27434
272	0.22318
273	11.069
274	1.2176
275	11.321
276	12.243
277	39.336
278	3.1295
279	1.6313
280	67.27
281	38.779
282	26.408
283	22.032
284	47.868
285	29.631
286	3.1738
287	6.5841
288	2.2167
289	2.2972e-003
290	1.0691e-003
291	2.4206e-003
292	2.5495e-003
293	2.283e-003
294	2.1838e-003
295	1.9843e-003
296	1.5041e-003
297	2.3954e-003
298	3.0261e-003
299	2.7434e-003
300	2.2437e-003
301	5.3949e-003
302	2.0168e-003
303	1.7472e-003
304	1.2212e-003
305	1.5144e-003
306	1.6106e-003
307	2.0265e-003
308	1.3416e-003
309	2.3239e-002
310	1.2695e-002
311	3.5496e-002
312	2.1626e-002
313	2.2876e-004
314	9.7935e-003
315	9.285e-003
316	9.285e-003
317	9.285e-003
318	3.6772e-003
319	5.9215e-004
320	2.2079e-004
321	1.372e-003
322	4.7118e-003
323	1.4753e-003
324	2.6395e-003
325	2.9843e-003
326	2.9013e-003
327	2.671e-003
328	2.6318e-003
329	2.6816e-003
330	2.3455e-003
331	1.6665e-003
332	1.2314e-004
333	3.0802e-004
334	5.718e-004
335	1.0685e-003
336	1.8178e-003
337	4.2306e-003
338	6.3196e-003
339	1.1103e-002
340	8.7855e-003
341	2.342e-003
342	2.3837e-003
343	2.6895e-003
344	2.345e-003
345	2.7305e-003
346	3.2023e-003
347	3.3939e-003
348	3.2777e-003
349	3.4247e-003
350	3.4011e-003
351	9.9919e-005
352	2.1015e-002
353	9.4667e-003
354	3.6331e-003
355	1.8943e-003
356	1.3061e-003
357	6.1811e-004
358	3.6319e-004
359	1.7415e-004
360	1.7026e-002
361	5.1732e-003
362	1.1736e-003
363	3.5593e-004
364	3.216e-004
365	1.1155e-004
366	8.5216e-005
367	1.2723e-004
368	1.6929e-004
369	6.7385e-003
370	9.3466e-003
371	7.4602e-003
372	4.1453e-003
373	5.9271e-003
374	1.723e-003
375	4.6582e-002
376	1.7646e-002
377	5.7587e-002
378	1.1336e-002
379	1.4335e-002
380	2.1201e-002
381	3.9602e-002
382	6.5092e-002
383	1.846e-002
384	7.5233e-003
385	1.6317e-002
386	4.6895e-003
387	1.3727e-002
388	1.9947e-002
389	6.0664e-002
390	4.3337e-002
391	1.5139e-002
392	5.8456e-003
393	2.1433e-004
394	1.4373e-004
395	9.5444e-005
396	5.8555e-005
397	4.4979e-005
398	5.4518e-005
399	1.4823e-002
400	1.621e-003
401	3.4067e-002
402	8.8774e-004
403	2.908e-003
404	6.5754e-004
405	4.1254e-004
406	6.3988e-003
407	9.0349e-004
408	7.2069e-003
409	1.0022e-002
410	1.042e-004
411	7.2621e-003
412	1.885e-004
413	4.8203e-003
414	2.5437e-003
415	2.8079e-003
416	3.086e-003
417	2.0767e-003
418	2.1993e-003
419	2.8991e-003
420	2.4924e-003
421	4.2802e-003
422	1.9665e-003
423	2.5555e-003
424	3.8651e-004
425	8.6563e-003
426	5.0363e-004
427	2.0542e-003
428	2.0136e-003
429	2.9622e-003
430	3.4255e-003
431	3.059e-003
432	3.147e-003
433	1.8949e-003
434	1.9935e-002
435	3.357e-003
436	1.6495e-003
437	1.97e-003
438	2.382e-003
439	7.5407e-003
440	1.9445e-003
441	6.023e-003
442	1.5839e-002
443	1.9333e-002
444	2.6346e-003
445	2.9126e-003
446	2.8703e-003
