Node Number	Directional Deformation (mm)
1	9.172e-004
2	3.6645e-003
3	-2.5877e-002
4	-6.3237e-002
5	-0.10156
6	-0.14811
7	-0.18249
8	-0.17774
9	-0.19271
10	-0.15127
11	0.10463
12	-7.2362e-002
13	5.5893e-002
14	-1.1334e-002
15	-5.4548e-002
16	-3.314e-002
17	-1.7187e-003
18	1.6351e-003
19	8.7147e-004
20	4.5873e-002
21	-2.2876e-003
22	-8.7067e-003
23	-1.8075e-002
24	-3.9131e-002
25	-3.9923e-002
26	-0.18209
27	5.9605e-002
28	-0.18542
29	-0.48643
30	-0.47576
31	-0.27257
32	-0.11186
33	-3.7002e-002
34	-3.6918e-002
35	-5.006e-003
36	2.1534e-002
37	-1.0027e-002
38	-1.4085e-002
39	-9.0751e-003
40	1.3876e-004
41	7.671e-003
42	6.2797e-003
43	4.9129e-003
44	2.5439e-002
45	-1.3177e-002
46	-2.0237e-002
47	5.747e-003
48	1.1908e-002
49	2.962e-002
50	1.4022e-002
51	1.9026e-002
52	2.9333e-002
53	-0.66411
54	-0.57018
55	-0.23584
56	-6.0412e-002
57	-4.1352e-003
58	-9.7361e-003
59	4.7344e-003
60	4.6822e-003
61	2.5313e-002
62	2.5591e-002
63	2.2317e-002
64	1.5973e-002
65	-3.2618e-003
66	-1.9388e-002
67	-1.1184e-002
68	3.0626e-003
69	5.487e-003
70	6.4012e-003
71	-1.5789e-003
72	-6.7392e-003
73	-1.1227e-002
74	6.7699e-002
75	-1.0305e-002
76	-3.7594e-002
77	-7.6444e-002
78	0.10418
79	0.25813
80	0.30442
81	5.4224e-002
82	0.22324
83	0.12396
84	5.2853e-002
85	3.3407e-002
86	6.4409e-002
87	6.0527e-002
88	5.3368e-002
89	5.2694e-002
90	-8.9881e-002
91	-6.5932e-003
92	1.7817e-002
93	-8.3475e-002
94	3.358e-003
95	0.14262
96	-6.0256e-003
97	7.0908e-004
98	-1.5568e-002
99	-4.9663e-003
100	1.6647e-002
101	-0.23743
102	-0.217
103	1.1356e-002
104	-3.434e-002
105	-7.9543e-002
106	-0.19757
107	-2.7662e-002
108	1.0268e-002
109	-0.11361
110	-1.1935e-002
111	-0.50198
112	-2.0802e-002
113	5.8975e-003
114	-0.22349
115	-2.4305e-002
116	-1.2793e-003
117	-5.5051e-002
118	-8.0968e-002
119	3.5869e-003
120	7.671e-003
121	-1.4227e-002
122	-0.18698
123	-3.7242e-002
124	-2.0216e-002
125	-4.7519e-002
126	-0.15057
127	-7.3405e-002
128	7.8875e-002
129	3.216e-002
130	4.9925e-003
131	-1.1974e-002
132	-0.14863
133	-3.7336e-002
134	5.8418e-003
135	-0.1978
136	0.
137	0.
138	0.
139	0.
140	2.3521e-003
141	3.5992e-003
142	4.3844e-003
143	2.907e-004
144	-2.2703e-004
145	-1.7003e-003
146	0.
147	0.
148	-8.7766e-004
149	2.8232e-003
150	4.1675e-003
151	2.2658e-003
152	3.7621e-003
153	3.4149e-003
154	0.
155	0.
156	0.
157	0.
158	0.
159	0.
160	0.
161	0.
162	0.
163	0.
164	0.
165	-3.5111e-007
166	-5.7513e-007
167	7.6577e-006
168	9.2808e-006
169	7.5904e-006
170	-2.8602e-007
171	0.
172	0.
173	0.
174	0.
175	0.
176	0.
177	0.
178	0.
179	0.
180	0.
181	0.
182	0.
183	-7.9251e-003
184	1.4372e-002
185	1.6728e-002
186	-2.4011e-002
187	-1.4769e-002
188	-2.1898e-002
189	0.
190	-6.1789e-003
191	-9.0127e-003
192	-2.6821e-002
193	2.4647e-002
194	3.4518e-002
195	9.9116e-003
196	0.
197	0.
198	0.
199	0.
200	0.
201	0.
202	0.
203	0.
204	0.
205	0.
206	0.
207	0.
208	0.
209	0.
210	0.
211	0.
212	0.
213	0.
214	0.
215	0.
216	0.
217	0.
218	0.
219	0.
220	0.
221	0.
222	0.
223	0.
224	0.
225	0.
226	0.
227	0.
228	0.
229	0.
230	0.
231	-2.3193e-004
232	3.6544e-005
233	-3.3403e-004
234	-8.0967e-004
235	-8.347e-004
236	-1.4963e-004
237	0.
238	0.
239	0.
240	-3.9084e-005
241	-4.997e-005
242	-2.624e-005
243	1.4506e-005
244	4.0756e-005
245	3.7663e-005
246	0.
247	0.
248	0.
249	0.
250	2.4887e-006
251	-2.9936e-004
252	1.5268e-005
253	-3.7155e-005
254	2.3374e-003
255	-3.4975e-005
256	-5.6564e-003
257	-3.5578e-003
