Node Number	Directional Deformation (mm)
1	-1.1966e-003
2	-2.9039e-003
3	-0.22938
4	-0.18003
5	-0.12701
6	-9.3936e-002
7	-5.0819e-002
8	-2.3802e-003
9	4.1676e-002
10	9.834e-002
11	5.3035e-002
12	2.8757e-002
13	1.3233e-002
14	1.9719e-002
15	1.1247e-002
16	-1.0421e-003
17	-1.639e-003
18	-8.6733e-005
19	-1.222e-003
20	-0.21671
21	-1.7813e-003
22	1.3712e-003
23	7.1535e-003
24	1.689e-002
25	4.0278e-002
26	5.2351e-002
27	6.2189e-002
28	1.2053e-002
29	-7.4431e-002
30	-8.7466e-002
31	-0.12592
32	-0.12452
33	-0.14292
34	-0.19246
35	-0.18924
36	-0.20374
37	1.4565e-003
38	3.3718e-003
39	2.5739e-003
40	-5.0406e-004
41	-3.4993e-003
42	-2.4944e-003
43	-1.8922e-003
44	-0.13724
45	3.2193e-003
46	7.0986e-003
47	1.562e-004
48	-1.093e-002
49	-3.1836e-002
50	-2.405e-002
51	6.3233e-003
52	-9.0726e-002
53	-9.6111e-002
54	-0.13247
55	-8.89e-002
56	-9.5533e-002
57	-7.7525e-002
58	-0.11859
59	-0.11586
60	-0.13843
61	-0.14783
62	-0.15302
63	-0.14732
64	-0.15624
65	-0.17607
66	-0.19673
67	2.2285e-003
68	-2.3548e-003
69	-1.0503e-003
70	-2.2872e-003
71	-5.1263e-004
72	9.3045e-004
73	1.6458e-003
74	-0.17583
75	1.0409e-003
76	1.2602e-002
77	2.027e-002
78	-1.0751e-002
79	-3.303e-002
80	-1.2645e-003
81	7.1656e-002
82	0.13256
83	5.2928e-002
84	-5.9628e-002
85	-0.14978
86	-0.15876
87	-0.16714
88	-0.19115
89	-0.21079
90	-0.19516
91	8.6117e-003
92	-9.5863e-003
93	-4.4284e-002
94	-4.0172e-003
95	-3.6686e-003
96	-3.5538e-002
97	1.9305e-004
98	6.4963e-002
99	-0.15327
100	1.1011e-002
101	5.1883e-002
102	-0.1463
103	-0.18477
104	2.1615e-002
105	-2.559e-002
106	2.4821e-002
107	1.1911e-002
108	-4.5537e-003
109	-7.3848e-002
110	1.4814e-002
111	-2.7171e-002
112	-3.0899e-002
113	-2.7674e-003
114	-2.0583e-002
115	2.3636e-002
116	6.4932e-004
117	-0.10953
118	-2.9171e-002
119	3.1054e-003
120	-2.9451e-003
121	-0.15065
122	-4.6147e-002
123	-9.2767e-002
124	4.3581e-003
125	4.9188e-002
126	-2.1699e-002
127	5.0253e-002
128	-2.5129e-002
129	1.5343e-002
130	-4.8281e-003
131	-0.11948
132	-7.0275e-002
133	-3.0103e-002
134	-2.8973e-002
135	-4.7585e-002
136	0.
137	0.
138	0.
139	0.
140	7.1828e-003
141	9.334e-003
142	4.7699e-003
143	-1.0564e-002
144	-2.0154e-002
145	-1.8891e-002
146	0.
147	0.
148	-2.4976e-002
149	-3.2748e-002
150	-6.0297e-003
151	6.9296e-003
152	1.8811e-002
153	1.5258e-002
154	0.
155	0.
156	0.
157	0.
158	0.
159	0.
160	0.
161	0.
162	0.
163	0.
164	0.
165	-6.0756e-004
166	-9.3599e-004
167	-8.3429e-005
168	7.2379e-004
169	1.011e-003
170	1.1808e-003
171	0.
172	0.
173	0.
174	0.
175	0.
176	0.
177	0.
178	0.
179	0.
180	0.
181	0.
182	0.
183	1.6799e-003
184	1.9097e-002
185	-3.8185e-003
186	-1.2394e-002
187	-1.9706e-002
188	-1.9777e-002
189	0.
190	-4.6284e-003
191	-1.8655e-004
