Node Number	Directional Deformation (mm)
1	-5.459e-003
2	-5.65e-003
3	0.49448
4	0.45371
5	0.41324
6	0.37651
7	0.33013
8	0.29338
9	0.24679
10	0.21072
11	0.1005
12	8.2838e-004
13	-5.2454e-003
14	-2.6695e-002
15	-2.2931e-002
16	-1.4362e-002
17	-8.8393e-003
18	-6.989e-003
19	-5.5739e-003
20	-0.17149
21	-6.1705e-003
22	-8.1125e-003
23	-1.0713e-002
24	-1.3304e-002
25	-1.5063e-002
26	-2.2546e-002
27	-6.7372e-002
28	-0.17245
29	-0.27915
30	-0.32844
31	-0.35019
32	-0.33454
33	-0.31163
34	-0.28121
35	-0.24611
36	-0.21086
37	-1.9662e-003
38	-1.5399e-003
39	-1.1663e-003
40	-8.7005e-004
41	-1.4907e-003
42	-3.0904e-003
43	-4.1618e-003
44	0.52383
45	-1.8928e-003
46	-2.0845e-003
47	-3.6169e-003
48	-4.5324e-003
49	-1.3737e-002
50	-2.9075e-002
51	-4.7053e-002
52	-3.9333e-002
53	5.9162e-002
54	0.22543
55	0.30562
56	0.32976
57	0.35849
58	0.39695
59	0.43945
60	0.48396
61	0.51721
62	0.5124
63	0.50802
64	0.50446
65	0.5005
66	0.49769
67	-2.7467e-003
68	-4.585e-003
69	-3.9504e-003
70	-2.4357e-003
71	-1.9678e-003
72	-2.4158e-003
73	-2.7176e-003
74	-0.14954
75	-3.3201e-003
76	-4.e-003
77	-7.8612e-003
78	-1.2401e-002
79	-8.3487e-002
80	-0.2226
81	-0.3452
82	-0.3296
83	-0.29543
84	-0.25785
85	-0.20446
86	-0.1596
87	-0.16642
88	-0.16697
89	-0.16897
90	-0.30195
91	-2.732e-002
92	-4.9197e-003
93	-0.37223
94	-2.0124e-003
95	-7.5314e-002
96	-0.33982
97	-5.6869e-003
98	-0.39123
99	-0.2424
100	3.7452e-003
101	-0.20207
102	-0.37107
103	-0.23209
104	-1.1257e-002
105	0.31881
106	3.8491e-002
107	-1.7624e-002
108	-3.3715e-002
109	0.344
110	-2.6317e-003
111	-3.718e-003
112	0.39282
113	-2.6063e-003
114	0.21765
115	-2.5412e-002
116	-1.548e-003
117	0.42559
118	1.3878e-002
119	1.6706e-002
120	-4.5079e-003
121	0.44668
122	0.26589
123	0.35664
124	-9.3744e-003
125	9.8755e-002
126	0.26946
127	0.11954
128	-3.4001e-002
129	-2.8369e-002
130	-1.3932e-003
131	0.46285
132	0.29755
133	-3.2252e-002
134	-3.6645e-003
135	0.31672
136	0.
137	0.
138	0.
139	0.
140	3.5033e-013
141	3.6793e-013
142	3.6452e-013
143	3.598e-013
144	1.6792e-013
145	1.0063e-013
146	0.
147	0.
148	3.9598e-013
149	4.931e-013
150	5.6598e-013
151	6.8996e-013
152	6.7142e-013
153	5.1104e-013
154	0.
155	0.
156	0.
157	0.
158	0.
159	0.
160	0.
161	0.
162	0.
163	0.
164	0.
165	1.7788e-014
166	2.8444e-014
167	3.973e-014
168	3.8266e-014
169	3.1077e-014
170	1.3843e-014
171	0.
172	0.
173	0.
174	0.
175	0.
176	0.
177	0.
178	0.
179	0.
180	0.
181	0.
182	0.
183	0.
184	0.
185	0.
186	0.
187	0.
188	0.
189	0.
190	0.
191	0.
192	0.
193	0.
194	0.
195	8.2701e-013
196	9.4206e-013
197	1.7423e-012
198	1.5555e-012
199	1.5377e-012
200	5.533e-013
201	0.
202	0.
203	0.
204	0.
205	0.
206	0.
207	0.
208	0.
209	0.
210	0.
211	0.
212	0.
213	0.
214	0.
215	0.
216	0.
217	0.
218	0.
219	0.
220	0.
221	0.
222	0.
223	0.
224	0.
225	0.
226	0.
227	0.
228	0.
229	0.
230	0.
231	0.
232	9.9322e-015
233	1.7702e-014
234	2.2776e-014
235	2.1431e-014
236	1.1661e-014
237	8.6293e-015
238	-4.1052e-014
239	-8.2093e-014
240	-1.106e-013
241	-1.2362e-013
242	-7.5824e-014
243	-5.7422e-014
244	8.0552e-013
245	1.046e-012
246	2.4777e-012
247	1.7948e-012
248	1.2452e-012
249	6.0562e-014
250	0.
251	0.
252	0.
253	0.
254	-2.5024e-013
255	-7.5462e-013
256	-3.2989e-013
257	-1.4197e-013
258	-1.8801e-013
259	-1.4842e-013
260	-6.507e-013
261	3.0042e-013
262	-1.5688e-013
263	-6.6697e-013
264	-6.7919e-014
265	-3.8463e-013
266	7.8467e-015
267	2.6015e-014
268	8.8494e-015
269	-1.2577e-013
270	-4.8612e-014
271	6.1669e-014
272	1.8372e-013
273	9.8244e-014
274	3.192e-013
275	5.1594e-014
276	9.0289e-014
277	4.0837e-014
278	3.2433e-013
279	8.0868e-014
280	2.6106e-013
281	1.8661e-014
282	3.4875e-014
283	1.2849e-013
284	1.0127e-013
285	2.409e-014
286	7.113e-014
287	2.4343e-013
288	3.153e-013
289	3.9133e-013
290	1.4203e-012
291	0.
292	0.
293	2.3967e-015
294	8.2361e-013
295	2.2664e-013
296	5.1809e-013
297	-9.7748e-014
298	-6.7843e-014
299	1.3157e-014
300	-2.3641e-013
301	6.6356e-013
302	7.1032e-013
303	1.5219e-013
304	1.4778e-012
305	4.6237e-013
306	3.2092e-013
307	-4.8148e-002
308	-2.7946e-002
309	-4.3864e-002
310	-2.4143e-002
311	-2.9405e-002
312	-2.7969e-002
313	-2.2178e-002
314	-2.2763e-002
315	-2.4186e-002
316	-2.6022e-002
317	-5.0809e-002
318	-4.3792e-002
319	-4.9832e-002
320	-4.7262e-002
321	-4.4368e-002
322	-4.5318e-002
323	-5.0669e-002
324	-5.2247e-002
325	0.
326	-8.9429e-003
327	-1.4591e-002
328	-1.6268e-002
329	-2.1493e-002
330	-2.9707e-002
331	-3.7649e-002
332	-4.2565e-002
333	-4.8344e-002
334	-5.3495e-002
335	0.
336	0.
337	0.
338	0.
339	0.
340	0.
341	0.
342	-4.5908e-002
343	-4.1316e-002
344	-3.5855e-002
345	-3.0041e-002
346	-2.4978e-002
347	-1.9486e-002
348	-1.5094e-002
349	-1.0737e-002
350	-7.7049e-003
351	-7.4079e-003
352	0.
353	0.
354	0.
355	0.
356	0.
357	0.
358	0.
359	0.
360	0.
361	0.
362	0.
363	3.8375e-002
364	-9.9971e-003
365	-8.1227e-003
366	-4.5886e-003
367	-4.6654e-003
368	-3.4526e-003
369	-8.9084e-003
370	-9.4999e-003
371	0.
372	0.
373	0.
374	1.9708e-004
375	5.4783e-004
376	1.1227e-003
377	2.3413e-003
378	4.8992e-003
379	9.1794e-003
380	2.4787e-002
381	5.0146e-002
382	5.0889e-002
383	4.7825e-002
384	4.2084e-002
385	3.5957e-002
386	3.1886e-002
387	2.7749e-002
388	2.2321e-002
389	1.7575e-002
390	1.2499e-002
391	5.8002e-003
392	0.
393	0.
394	0.
395	0.
396	0.
397	0.
398	0.
399	0.
400	0.
401	0.
402	0.
403	0.
404	0.
405	0.
406	0.
407	0.
408	0.
409	0.
410	0.
411	0.
412	0.
413	0.
414	0.
415	0.
416	0.
417	0.
418	0.
419	-9.9069e-003
420	-4.4877e-003
421	-2.5528e-002
422	-5.1863e-003
423	0.
424	0.
425	0.
426	0.
427	0.
428	0.
429	0.
430	0.
431	0.
432	0.
433	0.
434	0.
435	4.6442e-004
436	9.5448e-003
437	4.5354e-004
438	1.9246e-003
439	5.134e-002
440	4.9278e-003
441	-1.837e-002
442	-4.0302e-002
443	-2.4826e-002
444	-3.8115e-002
445	-1.2177e-002
446	-2.8542e-002
447	-7.5408e-003
448	-4.4744e-002
449	-2.9125e-002
450	-4.4904e-002
451	-9.5231e-003
452	-1.6443e-002
453	-3.0913e-002
454	-3.478e-002
455	-9.0579e-003
456	-2.6004e-002
457	-4.6496e-002
458	-4.451e-002
459	2.5837e-002
460	3.2611e-002
461	1.9931e-002
462	6.452e-004
463	1.6503e-002
464	-2.2053e-003
465	2.0868e-002
466	2.9976e-002
467	1.7121e-002
468	-2.0765e-003
469	-3.7e-003
470	-1.6771e-003
471	-1.2241e-002
472	-1.0816e-002
473	2.6308e-002
474	1.0674e-002
475	-7.0683e-003
476	-2.1823e-003
477	-5.1439e-003
478	-6.2796e-003
479	-5.6336e-003
480	1.413e-004
481	-2.6313e-003
482	-1.1773e-002
483	-2.452e-002
