Node Number	Directional Deformation (mm)
1	-6.2357e-005
2	-9.1641e-004
3	-5.4018e-002
4	-2.3926e-002
5	-9.4352e-004
6	1.2937e-002
7	4.1709e-002
8	4.7872e-002
9	5.3195e-002
10	4.1073e-002
11	-3.1096e-002
12	2.8069e-002
13	2.2483e-002
14	1.198e-002
15	-1.0996e-002
16	-7.999e-003
17	-2.434e-003
18	-4.4919e-004
19	-4.2494e-004
20	-2.5358e-002
21	-1.6461e-003
22	-1.4342e-003
23	8.0761e-004
24	-3.4603e-004
25	-3.3681e-003
26	-2.3166e-002
27	-4.3064e-002
28	-5.3179e-002
29	-0.11448
30	-0.11387
31	-0.13995
32	-0.11698
33	-7.8528e-002
34	-8.5453e-002
35	-5.809e-002
36	-4.2033e-002
37	1.3251e-003
38	1.622e-003
39	1.3735e-003
40	1.1618e-004
41	-7.4665e-004
42	-5.6068e-004
43	-9.7744e-005
44	1.5776e-002
45	1.7024e-003
46	2.5038e-003
47	4.0867e-003
48	1.0726e-003
49	3.1739e-004
50	-1.8508e-002
51	-1.1855e-002
52	-5.7846e-003
53	-7.6796e-004
54	-8.1771e-002
55	-0.12145
56	-0.13786
57	-7.4561e-002
58	-8.1559e-002
59	-3.7666e-002
60	-1.7116e-002
61	-1.1456e-003
62	-3.6481e-003
63	1.5918e-002
64	9.763e-003
65	1.7945e-003
66	-1.8464e-002
67	1.7793e-003
68	-7.4497e-004
69	-1.8302e-004
70	-5.3841e-004
71	6.5756e-005
72	1.098e-003
73	1.5708e-003
74	-1.2749e-002
75	1.6878e-003
76	3.2517e-003
77	5.5491e-003
78	2.8971e-002
79	-1.4903e-002
80	-4.4365e-002
81	4.9321e-002
82	9.8585e-002
83	0.11212
84	3.0192e-002
85	-1.234e-002
86	6.0834e-003
87	-4.2734e-003
88	-2.8247e-002
89	-2.9779e-002
90	-8.1013e-002
91	6.3381e-003
92	-1.8077e-003
93	-0.11464
94	-1.0285e-003
95	8.5574e-003
96	4.3998e-002
97	-1.6296e-003
98	5.048e-002
99	-1.7694e-002
100	4.0359e-003
101	4.6204e-003
102	-8.5918e-002
103	-4.8114e-002
104	9.1948e-004
105	2.0105e-002
106	1.1425e-002
107	6.2364e-004
108	8.9778e-003
109	-1.344e-003
110	3.5647e-003
111	1.9674e-002
112	2.7967e-002
113	-3.3064e-003
114	4.9051e-002
115	7.9037e-003
116	1.0557e-003
117	6.5953e-003
118	-2.724e-002
119	1.0765e-002
120	-1.5342e-003
121	-5.1141e-002
122	-7.7232e-002
123	-6.8477e-002
124	-3.5849e-003
125	6.5131e-002
126	1.6181e-002
127	-4.7834e-002
128	-8.8722e-003
129	3.5669e-003
130	-1.8012e-003
131	1.7321e-002
132	-0.12047
133	-1.7621e-002
134	-9.8739e-003
135	3.8212e-002
136	0.
137	0.
138	0.
139	0.
140	-9.0366e-013
141	-1.3779e-012
142	-1.4611e-012
143	4.3909e-013
144	1.1408e-012
145	8.004e-013
146	0.
147	0.
148	1.2623e-012
149	1.4155e-012
150	1.0898e-012
151	-8.8145e-013
152	-1.2279e-012
153	-1.0576e-012
154	0.
155	0.
156	-1.4338e-012
157	-1.4506e-012
158	-3.9736e-012
159	-1.0121e-012
160	4.6775e-013
161	1.0174e-012
162	0.
163	0.
164	0.
165	0.
166	0.
167	0.
168	0.
169	0.
170	0.
171	0.
172	-3.2111e-014
173	-3.9047e-014
174	2.4839e-014
175	5.7891e-014
176	6.8489e-014
177	6.9792e-014
178	0.
179	0.
180	0.
181	0.
182	0.
183	0.
184	0.
185	0.
186	0.
187	0.
188	1.4467e-014
189	3.3628e-014
190	5.1744e-014
191	6.3277e-014
192	6.6839e-014
193	3.4054e-014
194	0.
195	0.
196	0.
197	0.
198	0.
199	0.
200	0.
201	0.
202	0.
203	0.
204	0.
205	0.
206	0.
207	0.
208	0.
209	0.
210	0.
211	0.
212	0.
213	0.
214	0.
215	0.
216	0.
217	0.
218	0.
219	0.
220	0.
221	0.
222	0.
223	0.
224	0.
225	0.
226	0.
227	0.
228	0.
229	0.
230	0.
231	0.
232	0.
233	0.
234	3.2647e-014
235	4.7164e-014
236	6.4796e-014
237	6.7882e-014
238	3.7272e-014
239	4.872e-015
240	-1.0093e-012
241	-8.1408e-013
242	-2.6108e-012
243	-6.5423e-013
244	3.6153e-013
245	3.1702e-013
246	0.
