Node Number	Directional Deformation (mm)
1	6.7136e-004
2	3.5513e-003
3	-0.69708
4	-0.65441
5	-0.60321
6	-0.58257
7	-0.49882
8	-0.34476
9	-0.20397
10	-0.19941
11	-0.24359
12	0.10155
13	-2.5586e-002
14	3.1256e-002
15	-2.4744e-002
16	5.4795e-004
17	1.4046e-002
18	4.3222e-003
19	1.1305e-003
20	-0.58657
21	4.1511e-003
22	5.9215e-003
23	9.5663e-003
24	3.259e-003
25	-1.9012e-002
26	-6.516e-002
27	-7.4111e-002
28	-0.10695
29	-0.32779
30	-0.47856
31	-0.41882
32	-0.38492
33	-0.38805
34	-0.49231
35	-0.50815
36	-0.54511
37	-7.603e-004
38	-3.6917e-003
39	-3.1216e-003
40	5.481e-004
41	3.6587e-003
42	1.9014e-003
43	1.43e-003
44	-0.56749
45	-5.1596e-004
46	-3.6674e-003
47	2.0645e-002
48	5.43e-003
49	1.9116e-002
50	-9.8767e-004
51	-4.5381e-003
52	-2.4316e-002
53	-1.9942e-002
54	-0.58
55	-0.57849
56	-0.48838
57	-0.284
58	-0.39108
59	-0.43856
60	-0.51539
61	-0.57308
62	-0.58045
63	-0.58387
64	-0.5905
65	-0.63639
66	-0.67935
67	-2.3879e-003
68	3.1379e-003
69	1.6432e-003
70	3.1685e-003
71	-4.4955e-004
72	-1.3762e-003
73	-1.9322e-003
74	-0.61928
75	3.4847e-003
76	-1.5727e-003
77	-3.1024e-002
78	0.13171
79	-3.6706e-002
80	-0.56155
81	-9.94e-002
82	-1.7665e-002
83	-9.9082e-002
84	-0.36577
85	-0.52599
86	-0.60721
87	-0.59854
88	-0.59055
89	-0.58919
90	-0.51821
91	2.313e-002
92	1.1908e-002
93	-0.34233
94	5.6804e-003
95	0.28318
96	-0.26832
97	-1.4532e-004
98	0.10975
99	-0.51226
100	-4.1694e-002
101	-0.13612
102	-0.43863
103	-0.49965
104	1.1802e-002
105	-0.31329
106	2.1814e-002
107	-9.8054e-003
108	6.8725e-002
109	-0.41938
110	-3.1714e-002
111	0.10195
112	-0.38011
113	2.9085e-003
114	-1.9309e-002
115	-4.2963e-002
116	4.4106e-003
117	-0.52166
118	-3.7052e-002
119	1.583e-002
120	2.7006e-003
121	-0.49727
122	-0.29419
123	-0.37081
124	1.1136e-002
125	8.5306e-002
126	-0.21411
127	-0.1302
128	-1.5232e-002
