Node Number	Directional Deformation (mm)
1	-3.8904e-003
2	-4.9982e-003
3	-0.31861
4	-0.33155
5	-0.33566
6	-0.36388
7	-0.33768
8	-0.22802
9	-0.12832
10	-0.15211
11	-9.4936e-002
12	5.5739e-003
13	-1.1854e-002
14	7.4557e-003
15	-1.4614e-003
16	1.2059e-002
17	-9.3963e-004
18	-6.6809e-003
19	-4.724e-003
20	-0.21859
21	-4.6353e-004
22	1.5959e-003
23	-2.3689e-003
24	3.8952e-004
25	-2.0501e-002
26	-6.3536e-002
27	-5.8017e-002
28	-0.12986
29	-0.1601
30	-0.37346
31	-0.30229
32	-0.24046
33	-0.22681
34	-0.27699
35	-0.24543
36	-0.23258
37	2.2197e-003
38	6.1722e-004
39	-4.4052e-004
40	3.8611e-004
41	1.3809e-004
42	-1.9589e-003
43	-5.4513e-003
44	-0.19484
45	2.3015e-003
46	-1.6114e-003
47	4.1781e-003
48	-1.2309e-002
49	1.4187e-002
50	3.9274e-002
51	1.1313e-003
52	-6.973e-003
53	-0.11968
54	-0.64973
55	-0.55369
56	-0.39308
57	-0.14856
58	-0.197
59	-0.18577
60	-0.20217
61	-0.19868
62	-0.20459
63	-0.20931
64	-0.21545
65	-0.26058
66	-0.30166
67	5.7515e-004
68	-3.4391e-003
69	-3.3695e-003
70	3.4221e-004
71	8.6151e-004
72	5.5457e-004
73	3.0356e-004
74	-0.262
75	3.6081e-003
76	3.3391e-003
77	-2.972e-002
78	4.8912e-002
79	-4.1105e-002
80	-0.46966
81	-0.12893
82	-9.2532e-003
83	-4.5835e-002
84	-0.20949
85	-0.26287
86	-0.25379
87	-0.24021
88	-0.22658
89	-0.22171
90	-0.32231
91	4.0875e-002
92	1.3149e-002
93	-0.28361
94	6.4946e-003
95	0.18113
96	-0.19933
97	6.8874e-004
98	-2.6016e-002
99	-0.27181
100	-5.5744e-002
101	-0.12666
102	-0.31331
103	-0.22645
104	-2.3112e-003
105	-0.21191
106	-6.3656e-002
107	1.3369e-002
108	7.6554e-003
109	-0.2489
110	-2.7438e-002
111	7.3443e-002
112	-0.17999
113	1.0275e-002
114	9.1429e-002
115	-3.6385e-002
116	3.8337e-003
117	-0.25483
118	-6.1699e-003
119	8.1117e-003
120	-4.4695e-003
121	-0.21598
122	-0.33566
123	-0.22084
124	4.8273e-003
125	2.8212e-003
126	-0.14271
127	-2.7926e-002
128	2.1799e-002
129	1.0491e-002
130	5.5383e-003
131	-0.22333
132	-0.44298
133	6.8868e-003
134	7.7316e-003
135	-0.32618
136	0.
137	0.
138	0.
139	0.
140	9.7767e-014
141	9.7645e-014
142	1.2269e-013
143	-9.7766e-014
144	-1.2798e-013
145	-5.5884e-014
146	0.
147	0.
148	-1.8585e-013
149	-3.7537e-013
150	-4.6852e-013
151	2.4082e-013
152	4.7046e-013
153	8.8338e-014
154	0.
155	0.
156	0.
157	0.
158	0.
159	0.
160	0.
161	0.
162	0.
163	0.
164	0.
165	4.9212e-015
166	5.6306e-015
167	4.8064e-015
168	1.7707e-015
169	-1.842e-015
170	-3.6235e-015
171	0.
172	0.
173	0.
174	0.
175	0.
176	0.
177	0.
178	0.
179	0.
180	0.
181	0.
182	0.
183	0.
184	0.
185	0.
186	0.
187	0.
188	0.
189	0.
190	0.
191	0.
192	0.
193	0.
194	0.
195	-1.4007e-013
196	-1.3257e-012
197	-2.8006e-012
198	2.1451e-012
199	1.1755e-012
200	1.5306e-013
201	0.
202	0.
203	0.
204	0.
205	0.
206	0.
207	0.
208	0.
209	0.
210	0.
211	0.
212	0.
213	0.
214	0.
215	0.
216	0.
217	0.
218	0.
219	0.
220	0.
221	0.
222	0.
223	0.
224	0.
225	0.
226	0.
227	0.
228	0.
229	0.
230	0.
231	0.
232	1.8398e-015
233	1.3544e-015
234	1.5585e-015
235	1.4967e-015
236	-1.2101e-015
237	-2.1673e-015
238	-3.7354e-014
239	-4.1165e-014
240	-3.8369e-014
241	-3.6249e-014
242	-1.3256e-014
243	1.5217e-016
244	5.9527e-014
245	-2.3977e-012
246	-2.0599e-012
247	3.4115e-012
248	3.8439e-012
249	1.7252e-012
250	0.
251	0.
252	0.
253	0.
254	1.6605e-014
255	-2.7511e-013
256	-1.264e-013
257	4.5502e-014
258	-1.6457e-013
259	-2.5162e-014
260	1.7527e-014
261	4.346e-014
262	-4.2212e-014
263	-5.4535e-013
264	-1.225e-014
265	9.7955e-014
266	7.2846e-015
267	6.8e-015
268	3.6254e-016
269	-1.5997e-013
270	1.7914e-014
271	8.1263e-015
272	5.0325e-014
273	1.518e-014
274	-7.8174e-015
275	6.0832e-015
276	1.3071e-015
277	7.2042e-015
278	2.6044e-014
279	1.9894e-014
280	-9.9874e-014
281	-1.0892e-015
282	6.863e-015
283	2.2224e-014
284	-3.2182e-014
285	1.3858e-015
286	-1.5877e-014
287	7.248e-014
288	-9.1675e-014
289	-2.2466e-013
290	3.7427e-013
291	0.
292	0.
293	-3.0376e-014
294	6.8873e-013
295	-7.5137e-014
296	7.947e-013
297	-9.5453e-014
298	1.558e-014
299	1.3632e-015
300	2.5757e-013
301	-9.8361e-013
302	3.0626e-014
303	3.4414e-014
304	6.0511e-013
305	1.6094e-013
306	8.2188e-014
307	-4.4202e-006
308	-2.4325e-006
309	-2.8031e-006
310	-5.6417e-007
311	-1.8658e-006
312	-9.8041e-007
313	-1.0169e-006
314	-1.5728e-007
315	-1.4408e-006
316	-1.3932e-006
317	-5.7016e-006
318	-5.2419e-006
319	-6.2131e-006
320	-6.3109e-006
321	-5.993e-006
322	-4.3818e-006
323	-4.8009e-006
324	-4.6897e-006
325	-1.3116e-005
326	-1.3054e-005
327	-1.2953e-005
328	-1.254e-005
329	-1.2132e-005
330	-1.1573e-005
331	-1.1256e-005
332	-1.0176e-005
333	-9.3941e-006
334	-7.4804e-006
335	-1.1149e-005
336	-1.1469e-005
337	-1.1836e-005
338	-1.2191e-005
339	-1.256e-005
340	-1.2977e-005
341	-1.3189e-005
342	-5.6975e-006
343	-6.8804e-006
344	-7.8933e-006
345	-8.8532e-006
346	-9.6085e-006
347	-1.0354e-005
348	-1.075e-005
349	-1.0986e-005
350	-1.1116e-005
351	1.4384e-006
352	0.
353	0.
354	0.
355	0.
356	0.
357	0.
358	0.
359	0.
360	0.
361	-8.3856e-008
362	-9.647e-006
363	-7.581e-007
364	-2.7503e-006
365	2.1756e-007
366	-1.6558e-006
367	1.4295e-006
368	5.5325e-007
369	6.2009e-007
370	5.3145e-007
371	-7.0382e-006
372	-9.038e-006
373	-5.0438e-008
374	-1.1086e-007
375	-1.8742e-007
376	-3.2094e-007
377	-5.3166e-007
378	-4.6627e-007
379	-3.3942e-008
380	-1.9453e-007
