Node Number	Directional Deformation (mm)
1	-1.2109e-003
2	-5.0682e-003
3	-16.262
4	-17.394
5	-18.382
6	-19.279
7	-19.811
8	-20.013
9	-19.988
10	-17.869
11	-14.913
12	-7.0203
13	1.5179
14	0.13121
15	-2.5595e-002
16	3.8143e-002
17	5.9604e-003
18	3.2244e-004
19	-3.9004e-003
20	-16.306
21	2.4912e-003
22	6.9389e-003
23	9.006e-003
24	-1.6262e-002
25	-2.6983e-002
26	-3.153e-002
27	-0.5617
28	-8.1833
29	-15.484
30	-18.211
31	-19.95
32	-20.098
33	-19.859
34	-19.302
35	-18.404
36	-17.415
37	-7.3972e-004
38	1.757e-002
39	2.8014e-002
40	4.9278e-002
41	4.4266e-002
42	2.6652e-002
43	1.2239e-002
44	-16.473
45	-1.0799e-002
46	-5.4218e-003
47	7.6743e-003
48	-9.667e-002
49	-4.4777e-002
50	0.11094
51	-0.65564
52	-6.8048
53	-14.407
54	-18.988
55	-20.253
56	-20.11
57	-19.798
58	-19.162
59	-18.386
60	-17.476
61	-16.598
62	-16.69
63	-16.721
64	-16.729
65	-16.638
66	-16.492
67	2.7857e-003
68	1.1745e-002
69	2.0964e-002
70	3.1384e-002
71	3.2831e-002
72	1.743e-002
73	2.3889e-002
74	-16.496
75	-1.8134e-002
76	-1.0748e-002
77	-0.24959
78	0.46288
79	-1.4986
80	-11.583
81	-19.069
82	-20.406
83	-19.952
84	-19.064
85	-17.898
86	-16.665
87	-16.748
88	-16.751
89	-16.579
90	-20.044
91	0.88825
92	-0.65057
93	-17.761
94	-0.12797
95	-1.4014
96	-20.347
97	-2.7685e-002
98	-18.893
99	-18.684
100	-0.12461
101	-10.114
102	-20.708
103	-18.404
104	-0.3932
105	-20.325
106	-11.56
107	-0.58997
108	0.23193
109	-20.24
110	-0.29742
111	-14.346
112	-19.399
113	-0.19364
114	-20.217
115	1.6367
116	-8.1633e-002
117	-18.699
118	-5.7332
119	-1.8486
120	4.9479e-003
121	-18.294
122	-19.938
123	-19.883
124	-0.2309
125	-18.277
126	-20.412
127	-16.053
128	-1.8651
129	-0.10497
130	-1.3664e-002
131	-17.842
132	-20.394
133	0.41267
134	-0.33809
135	-20.33
136	0.
137	0.
138	0.
139	0.
140	-0.3755
141	-0.65116
142	-0.78903
143	-0.72875
144	-0.59375
145	-0.33169
146	0.
147	0.
148	-0.14505
149	-0.29744
150	-0.44968
151	-0.50307
152	-0.41737
153	-0.25517
154	0.
155	0.
156	-0.37101
157	-0.6855
158	-1.4155
159	-0.87754
160	-1.0103
161	-0.84359
162	0.
163	0.
164	-0.41948
165	-0.90056
166	-0.657
167	-0.79653
168	-0.78589
169	-0.35564
170	0.
171	0.
172	0.
173	0.
174	0.
175	0.
176	0.
177	0.
178	0.
179	0.
