Node Number	Directional Deformation (mm)
1	7.1891e-004
2	1.4063e-004
3	-17.171
4	-18.017
5	-18.677
6	-19.22
7	-18.992
8	-17.553
9	-15.289
10	-10.142
11	-3.0356
12	0.53924
13	0.19032
14	-0.2131
15	1.1651e-002
16	9.8337e-003
17	5.3391e-003
18	-4.3354e-003
19	-4.4242e-003
20	-17.218
21	-6.9642e-003
22	-4.6272e-003
23	1.0455e-002
24	-1.7764e-003
25	5.3601e-004
26	-0.12768
27	0.55257
28	0.19296
29	-3.9622
30	-10.98
31	-15.559
32	-17.72
33	-19.067
34	-19.316
35	-18.72
36	-18.035
37	-2.6972e-003
38	-7.1902e-003
39	-3.1017e-003
40	-3.8302e-003
41	-5.7967e-003
42	-3.4002e-003
43	-3.8223e-003
44	-17.483
45	-7.5175e-003
46	4.0099e-003
47	3.9846e-002
48	3.7269e-002
49	-0.31658
50	-0.23402
51	-0.17307
52	0.59671
53	-1.4115
54	-11.449
55	-16.313
56	-18.656
57	-19.49
58	-19.174
59	-18.826
60	-18.222
61	-17.576
62	-17.613
63	-17.591
64	-17.591
65	-17.52
66	-17.397
67	-6.9378e-003
68	-6.9196e-003
69	-5.2305e-003
70	-1.055e-002
71	-3.9724e-003
72	-1.7811e-003
73	-8.2989e-003
74	-17.513
75	-5.1935e-003
76	3.4712e-002
77	-5.626e-002
78	-0.50199
79	-1.9387e-002
80	-0.52391
81	-11.672
82	-17.783
83	-19.586
84	-19.206
85	-18.521
86	-17.614
87	-17.618
88	-17.616
89	-17.466
90	-19.692
91	-0.27621
92	-8.0631e-003
93	-10.01
94	1.5679e-002
95	1.6475
96	-18.724
97	1.1566e-002
98	-10.112
99	-18.843
100	-0.25105
101	0.49377
102	-17.118
103	-18.79
104	-4.1445e-002
105	-18.366
106	-0.4688
107	-3.8969e-002
108	-5.4154e-003
109	-19.338
110	-0.11833
111	-5.138
112	-19.098
113	2.6655e-002
114	-14.347
115	-0.18966
116	1.5304e-002
117	-18.982
118	2.2019
119	0.33185
120	-2.0698e-004
121	-18.706
122	-13.716
123	-19.11
124	1.2314e-002
125	-8.4946
126	-16.101
127	-4.4845
128	0.99735
129	-0.22654
130	-1.3376e-003
131	-18.332
132	-16.879
133	0.24701
134	-0.14697
135	-18.848
136	0.
137	0.
138	0.
139	0.
140	-5.6982e-011
141	-1.2097e-010
142	-1.6992e-010
143	-1.4027e-010
144	-9.3468e-011
145	-5.0367e-011
146	0.
147	0.
148	-3.9983e-011
149	-8.4709e-011
150	-1.2776e-010
151	-1.2957e-010
152	-8.9265e-011
153	-4.7788e-011
154	0.
155	0.
156	-6.8034e-011
157	-1.5157e-010
158	-3.4956e-010
159	-1.3977e-010
160	-1.2258e-010
161	-5.5525e-011
162	0.
163	0.
164	0.
165	0.
166	0.
167	0.
168	0.
169	0.
170	0.
171	0.
172	1.9829e-012
173	3.8008e-012
174	4.399e-012
175	4.1444e-012
176	2.9181e-012
177	1.1247e-012
178	0.
179	0.
180	0.
181	0.
182	0.
183	0.
184	0.
185	0.
186	0.
187	0.
188	0.
189	1.001e-012
190	2.8349e-012
191	4.0586e-012
192	4.5647e-012
193	3.7732e-012
194	2.0367e-012
