Node Number	Directional Deformation (mm)
1	1.2932e-004
2	-1.6154e-004
3	-11.046
4	-12.526
5	-13.816
6	-14.981
7	-15.651
8	-15.205
9	-14.099
10	-9.837
11	-2.2678
12	0.99532
13	-0.48272
14	-0.15102
15	5.8693e-002
16	-1.7462e-002
17	-1.0318e-002
18	5.5986e-003
19	7.1884e-003
20	-11.11
21	6.7274e-003
22	1.6361e-003
23	-1.2801e-002
24	-6.5162e-003
25	3.4046e-002
26	-0.1047
27	-3.9102e-002
28	0.3007
29	-3.7231
30	-10.606
31	-14.257
32	-15.337
33	-15.731
34	-15.061
35	-13.859
36	-12.563
37	5.4012e-003
38	-6.0372e-004
39	-1.9031e-003
40	9.384e-004
41	4.1833e-003
42	6.5501e-003
43	6.6772e-003
44	-9.9249
45	-2.499e-003
46	-1.3476e-002
47	2.4908e-003
48	9.4733e-002
49	-3.675e-002
50	-7.985e-002
51	-0.27764
52	0.6716
53	0.6777
54	-9.7763
55	-13.701
56	-14.688
57	-14.415
58	-13.514
59	-12.495
60	-11.264
61	-10.236
62	-10.521
63	-10.74
64	-10.955
65	-11.07
66	-11.112
67	2.8317e-003
68	7.9348e-003
69	2.0218e-003
70	1.5698e-003
71	1.1071e-003
72	-2.1384e-003
73	-5.1075e-003
74	-9.9757
75	-1.3492e-002
76	4.7197e-003
77	0.14366
78	-0.45575
79	-0.23392
80	0.70449
81	-9.9742
82	-14.645
83	-14.82
84	-13.429
85	-11.841
86	-10.397
87	-10.744
88	-11.039
89	-11.142
90	-15.532
91	-0.57726
92	0.14586
93	-9.9543
94	1.2946e-002
95	0.94932
96	-15.007
97	-3.2995e-002
98	-8.8881
99	-13.229
100	-0.25082
101	0.14662
102	-15.234
103	-13.512
104	6.9232e-002
105	-14.922
106	-0.1385
107	0.15872
108	-0.41633
109	-15.544
110	2.0857e-002
111	-3.5298
112	-14.201
113	4.1024e-003
114	-13.443
115	-0.5251
116	7.2182e-004
117	-13.764
118	2.0602
119	0.48883
120	-1.8689e-002
121	-12.544
122	-11.826
123	-14.516
124	2.4717e-002
125	-7.234
126	-14.004
127	-4.1007
128	0.41379
129	-4.5891e-002
130	-3.2485e-003
131	-12.234
132	-14.13
133	-6.1928e-003
134	4.6411e-002
135	-15.885
136	0.
137	0.
138	0.
139	0.
140	-7.672e-014
141	-4.9539e-013
142	2.4137e-012
143	2.994e-012
144	1.5478e-012
145	9.5649e-013
146	0.
147	0.
148	5.7513e-013
149	1.2761e-012
150	1.9095e-012
151	1.7635e-012
152	1.1134e-012
153	6.1142e-013
154	0.
155	0.
156	-2.0226e-013
157	-5.6159e-012
158	-1.3116e-012
159	5.1712e-012
160	-9.2596e-013
161	1.1646e-012
162	0.
163	0.
164	0.
165	0.
166	0.
167	0.
168	0.
169	0.
170	0.
171	0.
172	-2.1223e-014
173	-4.5674e-014
174	-5.4583e-014
175	-5.2908e-014
176	-4.0992e-014
177	-1.9832e-014
178	0.
179	0.
180	0.
181	0.
182	0.
183	0.
184	0.
185	0.
186	0.
187	0.
188	0.
189	-1.984e-014
190	-3.9709e-014
191	-5.1153e-014
192	-5.6206e-014
193	-4.4709e-014
194	-2.3015e-014
195	0.
196	0.
197	0.
198	0.
199	0.
200	0.
201	0.
202	0.
203	0.
204	0.
205	0.
206	0.
207	0.
208	0.
209	0.
210	0.
211	0.
212	0.
213	0.
214	0.
215	0.
216	0.
217	0.
218	0.
219	0.
220	0.
221	0.
222	0.
223	0.
224	0.
225	0.
226	0.
227	0.
228	0.
229	0.
230	0.
231	0.
232	0.
233	0.
234	0.
235	0.
236	-7.9784e-014
237	-3.3171e-014
238	-1.8834e-014
239	1.4621e-015
240	-2.0451e-014
241	-3.804e-014
242	-1.0048e-011
243	1.2077e-011
244	2.2359e-011
245	1.6061e-011
246	-9.5024e-013
247	1.0484e-012
248	0.
249	1.8912e-012
250	-3.0494e-012
251	3.4457e-013
252	2.8372e-013
253	-4.5661e-012
254	4.9526e-014
255	3.2486e-012
256	1.6478e-011
257	1.5052e-013
258	-1.2692e-012
259	-1.4871e-014
260	1.159e-012
261	5.0014e-015
262	-5.8747e-014
263	-3.6697e-014
264	2.1887e-012
265	2.0001e-013
266	9.0651e-015
267	1.7016e-013
268	7.9678e-013
269	-1.0747e-014
270	1.0667e-013
271	-4.9377e-014
272	5.1156e-013
273	-5.2138e-014
274	4.0335e-013
275	3.7118e-014
276	4.8218e-013
277	5.0376e-012
278	0.
279	0.
280	1.9874e-013
281	1.2076e-012
282	4.6819e-012
283	2.5804e-012
284	9.3738e-013
