Node Number	Directional Deformation (mm)
1	-1.1355e-003
2	-1.6604e-003
3	1.3363
4	1.3452
5	1.4148
6	1.5385
7	2.0287
8	2.5195
9	2.9536
10	2.417
11	4.937e-003
12	-0.22826
13	0.19689
14	2.1411e-002
15	-2.5507e-002
16	1.5287e-003
17	1.2002e-003
18	2.7843e-003
19	-5.7569e-004
20	1.8797
21	-4.3685e-003
22	4.0906e-004
23	7.6296e-003
24	-4.0131e-003
25	-7.6943e-004
26	7.4466e-002
27	5.387e-002
28	-0.96543
29	-2.5108
30	-1.1069
31	0.4191
32	1.2898
33	1.6623
34	1.6319
35	1.7744
36	1.843
37	1.4342e-002
38	1.2768e-002
39	1.1874e-002
40	1.5463e-002
41	1.6143e-002
42	1.3311e-002
43	4.4061e-003
44	1.4152
45	1.5173e-002
46	1.3369e-002
47	6.9154e-003
48	-1.6628e-002
49	3.2591e-002
50	2.7804e-002
51	3.7714e-002
52	-0.12474
53	0.1754
54	3.2195
55	3.0939
56	2.1072
57	1.4071
58	1.4562
59	1.4077
60	1.3887
61	1.428
62	1.4341
63	1.3764
64	1.3521
65	1.3211
66	1.3148
67	1.289e-002
68	-1.4959e-003
69	8.4137e-003
70	1.0242e-002
71	1.3682e-002
72	1.058e-002
73	1.1856e-002
74	1.9078
75	1.2853e-002
76	2.7634e-002
77	-1.6158e-002
78	7.6619e-002
79	-0.29083
80	-1.8111
81	-0.74371
82	0.97357
83	1.1482
84	1.6526
85	1.8308
86	1.92
87	1.8789
88	1.8599
89	1.8484
90	1.521
91	-2.6495e-002
92	-7.647e-002
93	-1.7232
94	2.4287e-002
95	-0.47547
96	1.2804
97	2.2415e-002
98	-2.491
99	1.7927
100	-7.6599e-002
101	-1.7312
102	0.6479
103	1.7438
104	-4.3104e-002
105	2.0869
106	-0.12837
107	-5.5351e-002
108	3.2611e-002
109	1.9083
110	-2.3938e-002
111	-0.31876
112	1.5667
113	5.7732e-003
114	2.3606
115	5.7978e-002
116	1.3222e-002
117	1.288
118	-8.0775e-003
119	7.3204e-002
120	1.4058e-002
121	1.437
122	1.3836
123	1.4997
124	-2.8577e-004
125	-0.11583
126	1.8131
127	0.84771
128	-5.0239e-002
129	-2.3284e-002
130	2.0073e-002
131	1.3477
132	2.4889
133	-3.3233e-002
134	-2.2086e-002
135	1.9438
136	0.
137	0.
138	0.
139	0.
140	-9.9414e-013
141	-1.9501e-012
142	-3.5368e-012
143	-1.7889e-012
144	-4.5598e-013
145	2.1434e-013
146	0.
147	0.
148	-4.5521e-013
149	-7.7149e-013
150	-9.2888e-013
151	-1.3439e-012
152	-7.2134e-013
153	-3.6714e-013
154	0.
155	0.
156	0.
157	-3.5359e-012
158	-2.1039e-012
159	-8.2593e-012
160	9.9449e-013
161	3.3986e-012
162	2.1847e-012
163	0.
164	0.
165	0.
166	0.
167	0.
168	0.
169	0.
170	0.
171	0.
172	0.
173	0.
174	-5.0369e-014
175	-1.3319e-013
176	-1.528e-013
177	-1.1771e-013
178	-9.3137e-014
179	-4.4299e-014
180	0.
181	0.
182	0.
183	0.
184	0.
185	0.
186	0.
187	0.
188	0.
189	0.
190	-2.9021e-014
191	-6.7695e-014
192	-6.6626e-014
193	-6.6063e-014
194	-2.9239e-014
195	-6.4707e-015
196	0.
197	0.
198	0.
199	0.
200	0.
201	0.
202	0.
203	0.
204	0.
205	0.
206	0.
207	0.
208	0.
209	0.
210	0.
211	0.
212	0.
213	0.
214	0.
215	0.
216	0.
217	0.
218	0.
219	0.
220	0.
221	0.
222	0.
223	0.
224	0.
225	0.
226	0.
227	0.
228	0.
229	0.
230	0.
231	0.
232	0.
233	0.
234	0.
235	0.
236	-1.2516e-013
237	-1.9467e-013
238	-1.334e-013
239	-1.4296e-013
240	-8.2588e-014
241	-5.5576e-015
242	-7.3965e-012
243	2.7033e-012
244	-6.7952e-013
245	7.6976e-013
246	-1.8879e-013
247	2.8919e-012
248	0.
249	-7.8605e-013
250	1.1193e-012
251	3.8424e-013
252	-6.1684e-013
253	3.643e-012
254	1.2554e-013
255	2.7949e-013
256	4.5293e-013
257	-1.4194e-014
258	8.4269e-013
259	8.4315e-015
260	2.9371e-013
261	-1.0557e-013
262	-4.561e-014
263	-2.7765e-014
264	-7.9481e-014
265	2.7262e-014
266	-3.5066e-013
267	-4.0445e-013
