Node Number	Directional Deformation (mm)
1	-3.422e-003
2	-3.3154e-003
3	-0.43309
4	-0.45666
5	-0.47463
6	-0.53537
7	-0.53252
8	-0.41495
9	-0.29334
10	-0.35285
11	-0.15797
12	8.8902e-002
13	-7.8103e-002
14	1.8684e-002
15	-1.2753e-002
16	1.1801e-002
17	7.8893e-003
18	-3.8596e-003
19	-4.4798e-003
20	-0.30197
21	1.375e-003
22	5.4003e-003
23	6.8863e-003
24	9.111e-003
25	-1.952e-002
26	-6.2941e-002
27	-4.6681e-002
28	-0.11576
29	-0.12388
30	-0.48122
31	-0.38273
32	-0.33511
33	-0.35445
34	-0.39883
35	-0.34726
36	-0.32356
37	1.9479e-003
38	-1.1946e-003
39	-2.2009e-003
40	2.0462e-004
41	1.764e-003
42	-8.8894e-004
43	-4.4533e-003
44	-0.24812
45	1.8254e-003
46	-3.4713e-003
47	1.7442e-002
48	-9.5382e-003
49	2.0043e-002
50	1.2359e-002
51	-1.8671e-003
52	9.3906e-003
53	-4.6404e-002
54	-0.88213
55	-0.72695
56	-0.46441
57	-0.16571
58	-0.22459
59	-0.22458
60	-0.25047
61	-0.25528
62	-0.27006
63	-0.28356
64	-0.29882
65	-0.35921
66	-0.41311
67	-3.8416e-004
68	-1.7108e-003
69	-2.0276e-003
70	1.9786e-003
71	-4.9238e-004
72	-6.0647e-004
73	-4.9991e-004
74	-0.32878
75	4.9965e-003
76	2.0804e-003
77	-4.505e-002
78	0.12658
79	4.8619e-002
80	-0.42721
81	-5.3449e-002
82	9.1718e-002
83	2.0869e-002
84	-0.20726
85	-0.30945
86	-0.31696
87	-0.31207
88	-0.30759
89	-0.30604
90	-0.44477
91	3.4978e-002
92	2.3234e-002
93	-0.37411
94	4.2364e-003
95	0.32942
96	-0.16907
97	7.6129e-005
98	8.7666e-002
99	-0.33721
100	-7.84e-002
101	-0.19477
102	-0.4211
103	-0.31542
104	1.486e-002
105	-0.21495
106	-4.3247e-002
107	1.6374e-002
108	5.3376e-002
109	-0.36604
110	-4.8935e-002
111	0.14093
112	-0.23145
113	7.7644e-003
114	5.7269e-002
115	-7.6442e-002
116	3.9052e-003
117	-0.35829
118	-2.6976e-002
119	3.7832e-002
120	-3.6838e-003
121	-0.27351
122	-0.3941
123	-0.24327
124	1.4008e-002
125	3.4508e-002
126	-0.16662
127	-5.6254e-002
128	1.0506e-002
129	6.0943e-003
130	5.7789e-003
131	-0.29839
132	-0.53769
133	-6.1514e-002
134	-4.5163e-003
135	-0.52092
136	0.
137	0.
138	0.
139	0.
140	-1.08e-011
141	-1.9354e-011
142	-1.2866e-011
143	5.6025e-012
144	1.3374e-011
145	1.2174e-011
146	0.
147	0.
148	1.2403e-011
149	1.3331e-011
150	7.8998e-012
151	-9.8387e-012
152	-1.4491e-011
153	-1.1619e-011
154	0.
155	0.
156	-6.3064e-012
157	-1.2898e-011
158	1.9708e-011
159	-1.3045e-011
160	-1.5345e-011
161	5.1143e-012
162	0.
163	0.
164	0.
165	0.
166	0.
167	0.
168	0.
169	0.
170	0.
171	0.
172	1.1869e-013
173	1.113e-014
174	6.5605e-014
175	-1.4332e-013
176	-1.3587e-013
177	-1.7947e-013
178	0.
179	0.
180	0.
181	0.
182	0.
183	0.
184	0.
185	0.
186	0.
187	0.
188	0.
189	2.42e-013
190	3.3355e-013
191	1.2108e-013
192	-2.8687e-014
193	-3.6921e-013
194	-5.1669e-013
195	0.
196	0.
197	0.
198	0.
199	0.
200	0.
201	0.
202	0.
203	0.
204	0.
205	0.
206	0.
207	0.
208	0.
209	0.
210	0.
211	0.
212	0.
213	0.
214	0.
215	0.
216	0.
217	0.
218	0.
219	0.
220	0.
221	0.
222	0.
223	0.
224	0.
225	0.
226	0.
227	0.
228	0.
229	0.
230	0.
231	0.
232	0.
233	0.
234	0.
235	0.
236	-2.4206e-013
237	-2.8863e-013
238	2.3967e-013
239	-1.4959e-013
240	-3.5476e-013
241	-1.9325e-013
242	-1.3362e-011
243	-3.2252e-011
244	-2.3366e-011
245	6.3554e-012
246	-8.9224e-014
247	4.8483e-012
248	0.
249	2.5925e-012
250	-3.0861e-012
251	-2.2181e-012
252	-6.5025e-013
253	7.1135e-012
254	-1.019e-012
255	-9.7456e-012
256	-1.5248e-011
257	-2.8768e-013
258	2.6484e-012
259	-5.0699e-013
260	2.6478e-012
261	1.1046e-012
262	7.0299e-013
263	-2.4191e-013
264	-4.1949e-012
265	2.3108e-012
266	-7.8771e-013
267	3.7873e-013
268	2.4515e-012
269	1.4101e-012
270	1.4112e-012
271	1.5329e-013
272	-1.1879e-011
273	-5.0757e-014
274	1.0947e-011
275	-2.4774e-012
276	-2.8739e-012
277	-9.5202e-012
278	0.
279	0.
280	-4.8191e-012
281	6.3297e-012
282	-1.1255e-011
283	2.5217e-012
284	4.4314e-013
285	-6.5969e-013
286	-9.128e-013
287	1.1554e-013
288	-9.4231e-012
289	-0.47929
290	-0.35824
291	-0.44733
292	-0.15908
293	-0.2619
294	-0.24067
295	-0.22386
296	-0.16659
297	-8.8661e-002
298	-8.0475e-002
299	-0.35953
300	-0.25225
301	-0.3636
302	-0.37203
303	-0.36492
304	-0.37926
305	-0.3895
306	-0.44301
307	-0.48071
308	-0.48215
309	-0.4671
310	-0.43596
311	-0.41809
312	-0.41817
313	-0.45998
314	-0.43413
315	-0.41454
316	-0.54874
317	-0.51698
318	-0.51418
319	-0.51791
320	-0.52731
321	-0.52465
322	-0.51418
323	-0.48297
324	-0.47297
325	-0.51114
326	-0.51158
327	-0.50937
328	-0.51744
329	-0.54173
330	-0.54794
331	-4.1643e-002
332	0.
333	0.
334	0.
335	0.
336	0.
337	0.
338	0.
339	0.
340	0.
341	1.2807e-002
342	-0.14439
343	9.293e-002
344	-0.15194
345	-1.3101e-002
346	-3.9369e-002
347	-5.4504e-002
348	-8.338e-002
349	-6.9981e-002
350	-0.10482
351	-0.11908
352	-0.31882
353	-1.186e-003
354	-3.7134e-003
355	-7.2776e-003
356	-1.2212e-002
357	-2.6181e-002
358	-4.2651e-002
359	-3.0829e-002
360	5.8913e-002
361	4.1814e-002
362	-2.8943e-003
363	-1.169e-002
364	-2.2963e-002
365	-2.2865e-002
366	-3.694e-002
367	-7.1629e-002
368	-7.6521e-002
369	-0.10526
370	-9.4731e-002
371	-0.10919
372	0.
373	0.
374	0.
375	0.
376	0.
377	0.
378	0.
379	0.
380	0.
381	1.5157e-002
382	1.0783e-002
383	6.9307e-003
384	3.6208e-003
385	1.0084e-003
386	-3.6376e-004
387	0.
388	0.
389	0.
390	0.
391	0.
392	0.
393	0.
394	0.
395	0.
396	0.
397	0.
398	0.
399	-2.3172e-002
400	-0.14762
401	-6.5543e-004
402	-0.30146
403	0.
404	0.
405	0.
406	0.
407	0.
408	0.
409	0.
410	0.
411	0.
412	0.
413	0.
414	0.
415	1.5035e-003
416	5.4107e-002
417	-3.0806e-003
418	-1.5797e-002
419	-1.9643e-002
420	-6.9917e-003
421	-0.5175
422	-0.48636
423	-0.43331
424	-0.48702
425	-0.45982
426	-0.50651
427	-0.43973
428	-0.51599
429	-0.43129
430	-0.48579
431	-5.351e-002
432	-5.4334e-002
433	-0.1078
434	-7.8422e-003
435	9.7619e-002
436	-2.4726e-002
437	-5.9787e-002
438	-2.2497e-002
439	-8.7757e-002
440	-0.25912
441	-0.19723
442	-6.4241e-002
443	-9.2069e-002
444	-6.3434e-004
445	-0.42773
446	-0.37804
