Node Number	Directional Deformation (mm)
1	1.84e-003
2	8.8676e-004
3	-16.645
4	-17.867
5	-18.867
6	-19.722
7	-20.071
8	-19.378
9	-17.781
10	-12.078
11	-2.5095
12	1.5612
13	-0.22613
14	-0.26315
15	3.9027e-002
16	9.1797e-003
17	-6.3082e-004
18	-4.367e-003
19	-2.1938e-003
20	-16.701
21	-3.1835e-004
22	-1.5471e-003
23	7.3143e-003
24	-4.0436e-003
25	2.0851e-002
26	-0.20174
27	0.28437
28	0.71548
29	-4.2704
30	-13.313
31	-18.058
32	-19.57
33	-20.201
34	-19.815
35	-18.903
36	-17.898
37	8.4793e-003
38	7.1291e-004
39	-9.1517e-003
40	-7.5565e-003
41	2.9699e-003
42	3.4787e-003
43	-5.4068e-004
44	-16.868
45	-1.5495e-002
46	-9.8126e-003
47	4.5666e-002
48	9.7822e-002
49	-0.26217
50	-0.24586
51	-0.35549
52	0.41336
53	-1.4091
54	-13.483
55	-18.504
56	-20.241
57	-20.366
58	-19.731
59	-19.009
60	-18.017
61	-17.069
62	-17.209
63	-17.261
64	-17.291
65	-17.18
66	-16.974
67	8.929e-003
68	2.2938e-003
69	4.7036e-003
70	-1.9673e-003
71	-7.3685e-003
72	-1.2549e-002
73	2.3187e-003
74	-16.909
75	-2.8696e-002
76	4.1944e-002
77	3.3054e-002
78	-0.59766
79	-0.25551
80	-0.69661
81	-13.828
82	-19.857
83	-20.714
84	-19.698
85	-18.496
86	-17.166
87	-17.294
88	-17.324
89	-17.099
90	-20.798
91	-0.82717
92	-0.12587
93	-12.351
94	-8.2551e-002
95	1.2924
96	-20.354
97	-2.6124e-002
98	-12.404
99	-19.358
100	-0.49902
101	0.4344
102	-19.59
103	-19.103
104	-7.3811e-002
105	-20.097
106	-0.39589
107	-0.19711
108	-0.49161
109	-20.667
110	-0.2701
111	-6.3061
112	-19.997
113	-8.3358e-002
114	-17.192
115	-0.81858
116	-8.316e-002
117	-19.439
118	2.0111
119	0.15316
120	-1.353e-002
121	-18.948
122	-16.026
123	-20.255
124	-1.307e-002
125	-10.363
126	-18.444
127	-4.9524
128	0.73367
129	-0.36745
130	-3.1576e-002
131	-18.483
132	-19.044
133	3.5268e-002
134	-0.21102
135	-20.494
136	0.
137	0.
138	9.4976e-003
139	2.0348e-002
140	2.3631e-002
141	2.0672e-002
142	1.5905e-002
143	8.865e-003
144	0.
145	0.
146	8.846e-003
147	1.9744e-002
148	2.5414e-002
149	2.0334e-002
150	1.6189e-002
151	7.1767e-003
152	0.
153	0.
154	0.
155	0.
156	0.
157	0.
158	0.
159	0.
160	0.
161	0.
162	0.
163	0.
164	0.
165	0.
166	0.
167	0.
168	0.
169	0.
170	0.
171	0.
172	0.
173	0.
174	0.
175	0.
176	0.
177	0.
178	0.
179	0.
180	0.
181	0.
182	0.
183	0.
184	0.
185	0.
186	0.
187	0.
188	0.
189	0.
190	0.
191	0.
192	0.
193	0.
194	0.
195	0.
196	0.
197	0.
198	0.
199	0.
200	0.
201	0.
202	0.
203	0.
204	0.
205	0.
206	0.
207	0.
208	0.
209	0.
210	0.
211	0.
212	0.
213	0.
214	0.
215	0.
216	-0.16597
217	-0.34355
218	-0.50581
219	-0.4892
220	-0.32768
221	-0.16749
222	-0.28837
223	-0.57749
224	-0.76674
225	-0.54235
